audio_id,chunk_id,encodec_encoder_ms,quantizer_3cb_ms,quantizer_4cb_ms,plain_pack_ms,conv_encode_pack_ms,vogeo_encode_only_ms,vogeo_pack_ms,uncoded_total_ms,conv_total_ms,proposed_total_ms
63,8,48.648399,4.041488,4.038575,0.045262,0.798384,0.495159,0.006578,52.732236,53.488271,53.191624
63,9,49.828182,4.062311,4.088745,0.047398,0.792427,0.493818,0.006569,53.964325,54.682919999999996,54.390879999999996
63,10,48.927303,3.979094,4.107513,0.077374,0.792521,0.554426,0.007691,53.11219,53.698918,53.468514
64,0,50.597237,4.076666,4.04918,0.047245,0.797745,0.481614,0.006121,54.693661999999996,55.471648,55.161638
64,1,49.17794,3.950051,3.976881,0.046582,0.771205,0.498351,0.005977,53.201403,53.899196,53.632319
64,2,49.289531,3.974659,4.029861,0.046659,0.780813,0.477347,0.007007,53.36605099999999,54.045003,53.748544
64,3,48.808957,3.960758,4.043045,0.047117,0.769831,0.489694,0.007004,52.899119,53.539546,53.266413
64,4,47.306501,4.117334,3.973969,0.045088,0.775964,0.480959,0.006603,51.325557999999994,52.199799,51.911396999999994
64,5,47.455794,3.952424,4.042734,0.051638,0.789378,0.534985,0.005584,51.550166,52.197596,51.948786999999996
64,6,47.119344,3.962016,3.922624,0.043853,0.75758,0.473919,0.005067,51.085820999999996,51.838939999999994,51.560345999999996
64,7,48.354436,3.879854,3.921836,0.049138,0.765006,0.484516,0.006066,52.32541,52.999296,52.724872
64,8,48.193378,4.201808,4.079226,0.046205,0.80124,0.500946,0.006694,52.318809,53.196426,52.902826000000005
64,9,48.630542,3.901396,3.919457,0.043926,0.753237,0.493525,0.007863,52.593925,53.285174999999995,53.033325999999995
64,10,49.544616,4.203348,4.007626,0.04534,0.778344,0.48015,0.007267,53.597582,54.52630799999999,54.235381
64,11,47.610346,3.971392,4.007795,0.045357,0.779763,0.473997,0.006346,51.663498000000004,52.361501000000004,52.062081
64,12,47.360164,4.029714,4.112941,0.044447,0.770712,0.48281,0.00726,51.517551999999995,52.16059,51.879948
64,13,49.733386,3.975713,4.040499,0.045079,0.771547,0.500055,0.006767,53.818964,54.480646,54.21592100000001
64,14,47.894437,4.038096,4.082579,0.044973,0.779751,0.471471,0.006854,52.021989000000005,52.712284000000004,52.410858000000005
65,0,49.36231,3.969169,3.979439,0.0453,0.764291,0.494279,0.007327,53.387049,54.09577,53.833085
65,1,53.346492,4.221074,4.046335,0.046997,0.794225,0.493113,0.007474,57.439823999999994,58.361791,58.068153
65,2,48.328539,3.955008,4.041385,0.070439,0.795917,0.519335,0.005447,52.440363,53.079464,52.80832899999999
65,3,47.402286,4.065686,3.979747,0.042975,0.772551,0.473562,0.006678,51.425008,52.240522999999996,51.948212
65,4,51.135968,3.958981,4.173018,0.053517,0.792442,0.505594,0.007032,55.362503,55.887391,55.607575000000004
65,5,51.884284,4.067854,4.022777,0.045524,0.789452,0.485297,0.006726,55.952585,56.741589999999995,56.444161
65,6,57.196777,4.887877,4.584776,0.050977,0.794245,0.576389,0.008335,61.83253,62.878899,62.669378
65,7,51.151552,4.262947,4.094972,0.044468,0.793699,0.487186,0.005941,55.290992,56.208197999999996,55.907626
65,8,50.092091,3.994593,4.206929,0.053912,0.771403,0.498376,0.007085,54.352932,54.858087000000005,54.592145
65,9,48.444817,4.010688,3.990495,0.046568,0.776967,0.502521,0.007355,52.481880000000004,53.232472,52.965381
65,10,50.174498,3.959497,4.115004,0.046019,0.783211,0.518352,0.00718,54.335521,54.917206,54.659527
65,11,49.891628,3.979703,3.998328,0.044233,0.784712,0.495382,0.005895,53.934188999999996,54.656043,54.372608
65,12,48.316278,4.089462,4.234521,0.055096,0.809789,0.528898,0.007065,52.605895,53.215529,52.94170299999999
65,13,52.852498,3.923821,3.983377,0.046756,0.758336,0.506409,0.006508,56.882630999999996,57.534654999999994,57.28923599999999
65,14,54.368379,4.41652,4.49465,0.06029,0.798867,0.578838,0.008216,58.923319,59.583766,59.37195299999999
66,0,54.0276,4.053362,3.977422,0.045488,0.776773,0.481359,0.00499,58.050509999999996,58.857735,58.567311
66,1,48.066197,3.846945,3.86428,0.066394,0.758679,0.468738,0.006949,51.996871000000006,52.671821,52.388829
66,2,46.953851,3.956329,3.917441,0.04486,0.76194,0.472397,0.006416,50.916152,51.67212,51.388993
66,3,45.530888,3.864531,3.866479,0.042393,0.759802,0.459756,0.005095,49.43975999999999,50.155221,49.86026999999999
66,4,48.681542,3.858082,4.00547,0.046877,0.774377,0.487494,0.006582,52.733889000000005,53.314001000000005,53.0337
66,5,47.98115,3.866693,3.858969,0.043449,0.784997,0.463857,0.006424,51.883568000000004,52.632839999999995,52.318124
66,6,44.857396,3.881482,3.894252,0.043167,0.758237,0.456477,0.00589,48.794815,49.497115,49.201245
66,7,49.298917,3.877733,3.962213,0.045024,0.762787,0.470074,0.006508,53.306154,53.939437000000005,53.653231999999996
66,8,47.34542,3.895928,3.885262,0.043823,0.756614,0.462584,0.005842,51.274505,51.997961999999994,51.709773999999996
66,9,44.546968,3.880022,3.882419,0.046178,0.765755,0.471777,0.005346,48.475564999999996,49.192744999999995,48.904113
67,0,48.177776,4.008432,3.951456,0.042161,0.76999,0.49455,0.006139,52.171393,52.956198,52.686896999999995
67,1,47.551898,3.87742,3.844082,0.043453,0.761219,0.466287,0.006215,51.439433,52.190537,51.90182
67,2,46.198069,3.825619,3.896884,0.043652,0.760587,0.478156,0.006004,50.138605,50.784275,50.507847999999996
67,3,46.885371,3.886007,3.935253,0.04943,0.763379,0.490179,0.005639,50.870054,51.534757,51.267196
67,4,45.125378,3.961727,3.831145,0.043627,0.761091,0.466293,0.00563,49.00015,49.848196,49.559028
67,5,46.775788,3.860192,3.856589,0.046007,0.760202,0.468425,0.006124,50.678384,51.396181999999996,51.110529
67,6,47.221729,3.891933,3.879607,0.044216,0.762604,0.474827,0.007036,51.145552,51.87626600000001,51.595525
67,7,44.643368,3.852081,3.87041,0.045528,0.75909,0.469377,0.006653,48.559306,49.254539,48.971479
67,8,46.772933,3.850198,3.957422,0.04471,0.762514,0.478163,0.006548,50.775065000000005,51.385645000000004,51.107842000000005
67,9,44.516417,3.894709,3.894165,0.043416,0.763086,0.461724,0.006377,48.453998,49.174212,48.87922699999999
68,0,49.629433,3.911539,3.990928,0.050263,0.789968,0.514384,0.00777,53.670624,54.33094,54.063126
68,1,46.321262,3.936823,3.948751,0.043632,0.787092,0.469604,0.006151,50.313645,51.045176999999995,50.733839999999994
68,2,46.246746,3.859485,3.86378,0.044388,0.763024,0.47329,0.006406,50.154914,50.869255,50.585927
68,3,48.120014,3.960559,3.925276,0.052372,0.784505,0.493378,0.006378,52.09766199999999,52.865078000000004,52.580329
68,4,48.511422,4.010655,3.912005,0.044319,0.757003,0.47341,0.006233,52.467746000000005,53.27908,53.001720000000006
68,5,45.845417,3.786651,3.838831,0.041655,0.761342,0.466624,0.0064,49.725902999999995,50.393409999999996,50.105092
68,6,46.101636,3.861919,3.898538,0.046379,0.756394,0.464814,0.006388,50.046553,50.719949,50.434757
68,7,48.038484,4.017795,3.90136,0.04301,0.765176,0.475156,0.006358,51.982853999999996,52.82145499999999,52.53779299999999
68,8,47.174821,4.027821,3.930795,0.043851,0.780549,0.478176,0.00635,51.149466999999994,51.983191000000005,51.687168
68,9,49.13132,3.972329,3.926096,0.044051,0.780736,0.47732,0.00598,53.10146700000001,53.884385,53.586949000000004
68,10,48.174459,3.852952,3.85133,0.042764,0.76004,0.46386,0.00749,52.068552999999994,52.787451000000004,52.498760999999995
68,11,47.405737,3.909664,3.947331,0.046377,0.758296,0.49045,0.007432,51.399445,52.073697,51.813283000000006
68,12,51.928418,3.971921,3.943802,0.046569,0.797576,0.50971,0.006353,55.918789,56.697915,56.416402
68,13,50.205508,4.054734,3.971155,0.049224,0.765675,0.481119,0.006027,54.22588700000001,55.02591700000001,54.74738800000001
68,14,46.856508,3.984858,3.956417,0.045267,0.758343,0.484666,0.006036,50.858192,51.599709000000004,51.332068
69,0,50.132936,3.946466,3.98509,0.043863,0.776345,0.484745,0.006099,54.161889,54.855747,54.570246
