method,metric,n_utterances,mean_ms,median_ms,std_ms,ci95_halfwidth_ms,ci95_low_ms,ci95_high_ms,p95_ms
uncoded,tx_ms,100,52.88640119296194,52.370744333333334,1.6683971344472592,0.3310461876148455,52.555355005347096,53.217447380576786,55.54794573636364
uncoded,rx_protection_ms,100,0.03274406801870352,0.0324694303030303,0.001015715442830646,0.00020153997996526725,0.03254252803873825,0.03294560799866879,0.03452834666666667
uncoded,rx_synthesis_ms,100,50.729053608281546,49.962171972727276,2.563064588729385,0.5085676204967715,50.22048598778478,51.237621228778316,52.33645087944444
uncoded,rx_total_ms,100,50.76194739476857,49.994732104545456,2.563672168394787,0.5086881774839245,50.25325921728464,51.270635572252495,52.37164355666667
uncoded,tx_plus_rx_ms,100,103.64834858773051,102.49572105555555,3.3552925705725825,0.6657628396062083,102.98258574812431,104.31411142733671,108.61330415333333
conv-coded,tx_ms,100,53.50674080339704,53.295364375000005,0.9928812414060858,0.19700917901101214,53.309731624386025,53.70374998240805,54.85723440897436
conv-coded,rx_protection_ms,100,168.4415381878091,167.8305667777778,1.9585367642065725,0.38861618478438914,168.05292200302472,168.83015437259348,171.47404269128788
conv-coded,rx_synthesis_ms,100,50.79409723156155,50.518392311111114,1.037174134836637,0.20579785000898318,50.58829938155257,50.999895081570536,52.70192667
conv-coded,rx_total_ms,100,219.2358277626993,218.4136648838384,2.7123173465568162,0.5381826057119926,218.6976451569873,219.7740103684113,224.81175180454545
conv-coded,tx_plus_rx_ms,100,272.74256856609634,271.76470931153847,3.0786300802597304,0.610866999291521,272.1317015668048,273.3534355653879,279.0877044611112
proposed,tx_ms,100,52.69100320473771,52.55791714010989,0.836831053560893,0.16604543620894452,52.524957768528765,52.85704864094666,53.772275408333336
proposed,rx_protection_ms,100,14.46828271084782,14.352855066666667,0.9616184947955312,0.1908059718332308,14.27747673901459,14.65908868268105,15.034748934722224
proposed,rx_synthesis_ms,100,50.25129341359979,49.898693116666664,1.561677647351057,0.3098707260787562,49.94142268752103,50.561164139678546,51.85483933153846
proposed,rx_total_ms,100,64.71991302547974,64.24205454487179,2.437013109495881,0.4835562723100053,64.23635675316973,65.20346929778975,67.10643523863637
proposed,tx_plus_rx_ms,100,117.41091623021744,116.89840949545454,2.8428274183665603,0.5640786353957581,116.84683759482168,117.9749948656132,119.9264017290909
