metric,n_utterances,mean_ms,median_ms,std_ms,ci95_halfwidth_ms,ci95_low_ms,ci95_high_ms,p95_ms
encodec_encoder_ms,100,47.60988427893968,47.37628809294872,0.8714697777438304,0.1729185105794556,47.436965768360224,47.78280278951914,49.439589551136365
quantizer_3cb_ms,100,3.934981342532024,3.9271796111111112,0.0536315877465418,0.010641670554718263,3.924339671977306,3.9456230130867422,4.022863928636363
quantizer_4cb_ms,100,3.9446768223136868,3.940728777777778,0.04732354850401309,0.009390018715088481,3.9352868035985984,3.954066841028775,4.022863609615385
plain_pack_ms,100,0.04570383185409036,0.04543535,0.0014073244013708996,0.0002792436933581346,0.04542458816073223,0.045983075547448495,0.048972552380952376
conv_encode_pack_ms,100,0.7680210811549562,0.7673588737373738,0.006541670684241884,0.0012980093863368665,0.7667230717686193,0.769319090541293,0.7781807916666666
vogeo_encode_only_ms,100,0.4822807259040404,0.4810887606060606,0.008833468517607253,0.0017527517973941252,0.48052797410664627,0.48403347770143457,0.4961241076923077
vogeo_pack_ms,100,0.00649989377095127,0.006478494047619047,0.0003989908828743621,7.916844733277401e-05,0.006420725323618496,0.006579062218284045,0.0069492428205128205
uncoded_total_ms,100,51.60026493310744,51.365563378205124,0.907427081905161,0.18005321982448166,51.42021171328296,51.78031815293192,53.44885832840909
conv_total_ms,100,52.31288670262665,52.07819096923077,0.9171394158426581,0.18198035758830666,52.13090634503834,52.49486706021496,54.16821268068181
proposed_total_ms,100,52.03364624114669,51.789722528205125,0.9187456013486701,0.18229905963914883,51.85134718150754,52.21594530078584,53.8906491685606
