method,audio_id,estoi,tx_gain_db
proposed,29,0.754512,34.00
conv,29,0.775582,34.00
3,29,0.571473,34.00
proposed,30,0.757927,34.00
conv,30,0.794143,34.00
3,30,0.617605,34.00
proposed,31,0.770613,34.00
conv,31,0.799081,34.00
3,31,0.622008,34.00
proposed,32,0.715655,34.00
conv,32,0.755444,34.00
3,32,0.559147,34.00
proposed,33,0.724534,34.00
conv,33,0.757382,34.00
3,33,0.553497,34.00
proposed,34,0.745350,34.00
conv,34,0.777250,34.00
3,34,0.570828,34.00
proposed,35,0.745752,34.00
conv,35,0.784267,34.00
3,35,0.581571,34.00
proposed,36,0.735861,34.00
conv,36,0.734694,34.00
3,36,0.544822,34.00
proposed,37,0.745969,34.00
conv,37,0.770895,34.00
3,37,0.538528,34.00
proposed,38,0.730190,34.00
conv,38,0.733572,34.00
3,38,0.536896,34.00
proposed,39,0.750533,34.00
conv,39,0.782111,34.00
3,39,0.570045,34.00
proposed,40,0.764151,34.00
conv,40,0.795141,34.00
3,40,0.620815,34.00
proposed,41,0.727154,34.00
conv,41,0.744929,34.00
3,41,0.571165,34.00
proposed,42,0.755139,34.00
conv,42,0.776367,34.00
3,42,0.567706,34.00
proposed,43,0.748066,34.00
conv,43,0.786212,34.00
3,43,0.514590,34.00
proposed,44,0.700856,34.00
conv,44,0.718143,34.00
3,44,0.471632,34.00
proposed,45,0.652212,34.00
conv,45,0.429789,34.00
3,45,0.274265,34.00
proposed,46,0.702179,34.00
conv,46,0.604282,34.00
3,46,0.366231,34.00
proposed,47,0.686384,34.00
conv,47,0.405775,34.00
3,47,0.331661,34.00
proposed,48,0.547400,34.00
conv,48,0.404620,34.00
3,48,0.253253,34.00
proposed,49,0.599465,34.00
conv,49,0.416241,34.00
3,49,0.295901,34.00
proposed,50,0.625633,34.00
conv,50,0.440659,34.00
3,50,0.317375,34.00
proposed,51,0.584328,34.00
conv,51,0.440903,34.00
3,51,0.266779,34.00
proposed,52,0.639176,34.00
conv,52,0.411426,34.00
3,52,0.275394,34.00
proposed,53,0.595531,34.00
conv,53,0.373459,34.00
3,53,0.251769,34.00
proposed,54,0.621021,34.00
conv,54,0.420171,34.00
3,54,0.297586,34.00
proposed,55,0.615673,34.00
conv,55,0.503755,34.00
3,55,0.317304,34.00
proposed,56,0.641943,34.00
conv,56,0.384608,34.00
3,56,0.257766,34.00
proposed,57,0.554894,34.00
conv,57,0.327473,34.00
3,57,0.224189,34.00
proposed,58,0.631461,34.00
conv,58,0.476699,34.00
3,58,0.320079,34.00
proposed,59,0.571569,34.00
conv,59,0.452800,34.00
3,59,0.277630,34.00
proposed,60,0.599759,34.00
conv,60,0.438701,34.00
3,60,0.334155,34.00
proposed,61,0.594955,34.00
conv,61,0.417481,34.00
3,61,0.299400,34.00
proposed,62,0.652111,34.00
conv,62,0.493905,34.00
3,62,0.327636,34.00
proposed,63,0.622077,34.00
conv,63,0.466845,34.00
3,63,0.313511,34.00
proposed,64,0.741880,34.00
conv,64,0.776878,34.00
3,64,0.556495,34.00
proposed,65,0.704077,34.00
conv,65,0.775507,34.00
3,65,0.625260,34.00
proposed,66,0.701906,34.00
conv,66,0.777242,34.00
3,66,0.601622,34.00
proposed,67,0.740124,34.00
conv,67,0.782023,34.00
3,67,0.631589,34.00
proposed,68,0.672848,34.00
conv,68,0.738042,34.00
3,68,0.597906,34.00
proposed,69,0.712364,34.00
conv,69,0.772862,34.00
3,69,0.635011,34.00
proposed,70,0.709735,34.00
conv,70,0.757390,34.00
3,70,0.585802,34.00
proposed,71,0.686426,34.00
conv,71,0.756889,34.00
3,71,0.576499,34.00
proposed,72,0.695644,34.00
conv,72,0.765609,34.00
3,72,0.569117,34.00
proposed,73,0.695558,34.00
conv,73,0.756043,34.00
3,73,0.588740,34.00
proposed,74,0.694769,34.00
conv,74,0.759504,34.00
3,74,0.611315,34.00
proposed,75,0.726044,34.00
conv,75,0.789057,34.00
3,75,0.632725,34.00
proposed,76,0.689435,34.00
conv,76,0.763138,34.00
3,76,0.579527,34.00
proposed,77,0.687629,34.00
conv,77,0.748283,34.00
3,77,0.581231,34.00
proposed,78,0.699667,34.00
conv,78,0.762658,34.00
3,78,0.593911,34.00
proposed,79,0.714299,34.00
conv,79,0.771849,34.00
3,79,0.616921,34.00
proposed,80,0.638329,34.00
conv,80,0.701680,34.00
3,80,0.500206,34.00
proposed,81,0.692234,34.00
conv,81,0.672003,34.00
3,81,0.467515,34.00
proposed,82,0.729475,34.00
conv,82,0.749372,34.00
3,82,0.520216,34.00
proposed,83,0.734198,34.00
conv,83,0.771347,34.00
3,83,0.495681,34.00
proposed,84,0.710724,34.00
conv,84,0.714782,34.00
3,84,0.470951,34.00
proposed,85,0.726443,34.00
conv,85,0.769101,34.00
3,85,0.493777,34.00
proposed,86,0.722898,34.00
conv,86,0.753186,34.00
3,86,0.453371,34.00
proposed,87,0.696042,34.00
conv,87,0.677641,34.00
3,87,0.387554,34.00
proposed,88,0.650142,34.00
conv,88,0.665229,34.00
3,88,0.442398,34.00
proposed,89,0.663083,34.00
conv,89,0.630409,34.00
3,89,0.403364,34.00
proposed,90,0.689679,34.00
conv,90,0.663200,34.00
3,90,0.396593,34.00
proposed,91,0.740019,34.00
conv,91,0.791045,34.00
3,91,0.552212,34.00
proposed,92,0.742812,34.00
conv,92,0.777880,34.00
3,92,0.539711,34.00
proposed,93,0.731529,34.00
conv,93,0.757040,34.00
3,93,0.507072,34.00
proposed,94,0.724442,34.00
conv,94,0.777887,34.00
3,94,0.566107,34.00
proposed,95,0.744638,34.00
conv,95,0.690065,34.00
3,95,0.506853,34.00
proposed,96,0.708610,34.00
conv,96,0.611033,34.00
3,96,0.400102,34.00
proposed,97,0.680289,34.00
conv,97,0.632040,34.00
3,97,0.400303,34.00
proposed,98,0.659840,34.00
conv,98,0.570683,34.00
3,98,0.340256,34.00
proposed,99,0.677965,34.00
conv,99,0.508545,34.00
3,99,0.335262,34.00
proposed,0,0.759561,38.00
conv,0,0.758998,38.00
3,0,0.796810,38.00
proposed,1,0.773180,38.00
conv,1,0.770260,38.00
3,1,0.802005,38.00
proposed,2,0.771773,38.00
conv,2,0.770271,38.00
3,2,0.802987,38.00
proposed,3,0.781231,38.00
conv,3,0.781212,38.00
3,3,0.815896,38.00
proposed,4,0.778511,38.00
conv,4,0.771170,38.00
3,4,0.814443,38.00
proposed,5,0.788282,38.00
conv,5,0.784773,38.00
3,5,0.818334,38.00
proposed,6,0.784957,38.00
conv,6,0.783992,38.00
3,6,0.819092,38.00
proposed,7,0.826290,38.00
conv,7,0.827443,38.00
3,7,0.847604,38.00
proposed,8,0.802229,38.00
conv,8,0.801492,38.00
3,8,0.834134,38.00
proposed,9,0.778166,38.00
conv,9,0.778292,38.00
3,9,0.815325,38.00
proposed,10,0.780635,38.00
conv,10,0.780159,38.00
3,10,0.813917,38.00
proposed,11,0.784182,38.00
conv,11,0.783052,38.00
3,11,0.824800,38.00
proposed,12,0.803029,38.00
conv,12,0.802445,38.00
3,12,0.835520,38.00
proposed,13,0.768690,38.00
conv,13,0.765013,38.00
3,13,0.797247,38.00
proposed,14,0.799180,38.00
conv,14,0.798060,38.00
3,14,0.830013,38.00
proposed,15,0.800077,38.00
conv,15,0.800736,38.00
3,15,0.830346,38.00
proposed,16,0.779791,38.00
conv,16,0.778338,38.00
3,16,0.809473,38.00
proposed,17,0.800815,38.00
conv,17,0.799595,38.00
3,17,0.840043,38.00
proposed,18,0.782689,38.00
conv,18,0.778757,38.00
3,18,0.813470,38.00
proposed,19,0.789576,38.00
conv,19,0.785369,38.00
3,19,0.823818,38.00
proposed,20,0.777221,38.00
conv,20,0.776003,38.00
3,20,0.805390,38.00
proposed,21,0.784733,38.00
conv,21,0.784755,38.00
3,21,0.817300,38.00
proposed,22,0.757208,38.00
conv,22,0.754530,38.00
3,22,0.798542,38.00
proposed,23,0.795103,38.00
conv,23,0.788137,38.00
3,23,0.828904,38.00
proposed,24,0.794037,38.00
conv,24,0.791643,38.00
3,24,0.824839,38.00
proposed,25,0.769762,38.00
conv,25,0.769337,38.00
3,25,0.798777,38.00
proposed,26,0.779004,38.00
conv,26,0.774197,38.00
3,26,0.808545,38.00
proposed,27,0.798243,38.00
conv,27,0.797393,38.00
3,27,0.825251,38.00
proposed,28,0.800031,38.00
conv,28,0.798236,38.00
3,28,0.830314,38.00
proposed,29,0.793505,38.00
conv,29,0.793893,38.00
3,29,0.821102,38.00
proposed,30,0.797851,38.00
conv,30,0.798076,38.00
3,30,0.825007,38.00
proposed,31,0.808352,38.00
conv,31,0.808227,38.00
3,31,0.841593,38.00
proposed,32,0.760169,38.00
conv,32,0.759822,38.00
3,32,0.796486,38.00
proposed,33,0.761203,38.00
conv,33,0.760626,38.00
3,33,0.800154,38.00
proposed,34,0.780193,38.00
conv,34,0.779859,38.00
3,34,0.821710,38.00
proposed,35,0.791784,38.00
conv,35,0.790694,38.00
3,35,0.826926,38.00
proposed,36,0.773524,38.00
conv,36,0.772884,38.00
3,36,0.805044,38.00
proposed,37,0.778492,38.00
conv,37,0.776317,38.00
3,37,0.812184,38.00
proposed,38,0.767709,38.00
conv,38,0.766622,38.00
3,38,0.806057,38.00
proposed,39,0.789719,38.00
conv,39,0.790261,38.00
3,39,0.819711,38.00
proposed,40,0.801928,38.00
conv,40,0.802726,38.00
3,40,0.834809,38.00
proposed,41,0.759131,38.00
conv,41,0.759963,38.00
3,41,0.803279,38.00
proposed,42,0.792767,38.00
conv,42,0.792442,38.00
3,42,0.824277,38.00
proposed,43,0.797913,38.00
conv,43,0.798298,38.00
3,43,0.826509,38.00
proposed,44,0.767342,38.00
conv,44,0.767801,38.00
3,44,0.805699,38.00
proposed,45,0.768921,38.00
conv,45,0.769061,38.00
3,45,0.801434,38.00
proposed,46,0.811788,38.00
conv,46,0.811346,38.00
3,46,0.836139,38.00
proposed,47,0.808025,38.00
conv,47,0.801856,38.00
3,47,0.831327,38.00
proposed,48,0.662421,38.00
conv,48,0.664154,38.00
3,48,0.698260,38.00
proposed,49,0.709860,38.00
conv,49,0.711147,38.00
3,49,0.743951,38.00
proposed,50,0.722076,38.00
conv,50,0.722123,38.00
3,50,0.754461,38.00
proposed,51,0.710655,38.00
conv,51,0.710420,38.00
3,51,0.748811,38.00
proposed,52,0.712412,38.00
conv,52,0.712231,38.00
3,52,0.744452,38.00
proposed,53,0.719970,38.00
conv,53,0.719262,38.00
3,53,0.755793,38.00
proposed,54,0.778048,38.00
conv,54,0.777019,38.00
3,54,0.811557,38.00
proposed,55,0.753509,38.00
conv,55,0.753735,38.00
3,55,0.789066,38.00
proposed,56,0.765490,38.00
conv,56,0.765804,38.00
3,56,0.793423,38.00
proposed,57,0.720689,38.00
conv,57,0.720164,38.00
3,57,0.751071,38.00
proposed,58,0.761115,38.00
conv,58,0.761310,38.00
3,58,0.788689,38.00
proposed,59,0.679717,38.00
conv,59,0.678832,38.00
3,59,0.712218,38.00
proposed,60,0.748972,38.00
conv,60,0.749098,38.00
3,60,0.786804,38.00
proposed,61,0.706611,38.00
conv,61,0.706018,38.00
3,61,0.744079,38.00
proposed,62,0.811718,38.00
conv,62,0.810733,38.00
3,62,0.837898,38.00
proposed,63,0.767399,38.00
conv,63,0.768365,38.00
3,63,0.802898,38.00
proposed,64,0.786856,38.00
conv,64,0.787935,38.00
3,64,0.821334,38.00
proposed,65,0.786922,38.00
conv,65,0.787360,38.00
3,65,0.825974,38.00
proposed,66,0.778248,38.00
conv,66,0.778373,38.00
3,66,0.820368,38.00
proposed,67,0.792915,38.00
conv,67,0.787565,38.00
3,67,0.827895,38.00
proposed,68,0.755215,38.00
conv,68,0.754598,38.00
3,68,0.802502,38.00
proposed,69,0.774776,38.00
conv,69,0.776828,38.00
3,69,0.822523,38.00
proposed,70,0.764953,38.00
conv,70,0.764350,38.00
3,70,0.802079,38.00
proposed,71,0.767193,38.00
conv,71,0.767292,38.00
3,71,0.806851,38.00
proposed,72,0.771044,38.00
conv,72,0.767274,38.00
3,72,0.820458,38.00
proposed,73,0.759122,38.00
conv,73,0.758100,38.00
3,73,0.804731,38.00
proposed,74,0.763582,38.00
conv,74,0.761130,38.00
3,74,0.810683,38.00
proposed,75,0.790717,38.00
conv,75,0.786822,38.00
3,75,0.831050,38.00
proposed,76,0.762368,38.00
conv,76,0.763276,38.00
3,76,0.805936,38.00
proposed,77,0.758365,38.00
conv,77,0.758123,38.00
3,77,0.799068,38.00
proposed,78,0.773577,38.00
conv,78,0.773061,38.00
3,78,0.817824,38.00
proposed,79,0.772054,38.00
conv,79,0.772747,38.00
3,79,0.806168,38.00
proposed,80,0.749393,38.00
conv,80,0.750125,38.00
3,80,0.788095,38.00
proposed,81,0.810569,38.00
conv,81,0.810618,38.00
3,81,0.845260,38.00
proposed,82,0.797841,38.00
conv,82,0.797182,38.00
3,82,0.836362,38.00
proposed,83,0.822496,38.00
conv,83,0.820882,38.00
3,83,0.851809,38.00
proposed,84,0.830827,38.00
conv,84,0.831293,38.00
3,84,0.860116,38.00
proposed,85,0.804004,38.00
conv,85,0.804060,38.00
3,85,0.838811,38.00
proposed,86,0.812164,38.00
conv,86,0.810447,38.00
3,86,0.847486,38.00
proposed,87,0.819244,38.00
conv,87,0.817927,38.00
3,87,0.847467,38.00
proposed,88,0.787369,38.00
conv,88,0.790173,38.00
3,88,0.823282,38.00
proposed,89,0.815702,38.00
conv,89,0.816077,38.00
3,89,0.844576,38.00
proposed,90,0.818936,38.00
conv,90,0.818181,38.00
3,90,0.855438,38.00
proposed,91,0.838469,38.00
conv,91,0.839060,38.00
3,91,0.864453,38.00
proposed,92,0.836483,38.00
conv,92,0.836918,38.00
3,92,0.865596,38.00
proposed,93,0.822779,38.00
conv,93,0.822096,38.00
3,93,0.850539,38.00
proposed,94,0.833589,38.00
conv,94,0.829456,38.00
3,94,0.864900,38.00
proposed,95,0.821682,38.00
conv,95,0.821952,38.00
3,95,0.844727,38.00
proposed,96,0.794309,38.00
conv,96,0.794569,38.00
3,96,0.819687,38.00
proposed,97,0.796425,38.00
conv,97,0.798290,38.00
3,97,0.826447,38.00
proposed,98,0.773851,38.00
conv,98,0.773373,38.00
3,98,0.802894,38.00
proposed,99,0.810862,38.00
conv,99,0.810794,38.00
3,99,0.836251,38.00
proposed,0,0.760690,36.00
conv,0,0.757397,36.00
3,0,0.796694,36.00
proposed,1,0.773377,36.00
conv,1,0.771376,36.00
3,1,0.801250,36.00
proposed,2,0.772152,36.00
conv,2,0.769694,36.00
3,2,0.801575,36.00
proposed,3,0.781266,36.00
conv,3,0.781171,36.00
3,3,0.815007,36.00
proposed,4,0.779268,36.00
conv,4,0.779827,36.00
3,4,0.810218,36.00
proposed,5,0.787828,36.00
conv,5,0.785570,36.00
3,5,0.818633,36.00
proposed,6,0.785002,36.00
conv,6,0.782972,36.00
3,6,0.819556,36.00
proposed,7,0.826932,36.00
conv,7,0.826011,36.00
3,7,0.844647,36.00
proposed,8,0.802603,36.00
conv,8,0.800293,36.00
3,8,0.833303,36.00
proposed,9,0.779755,36.00
conv,9,0.777985,36.00
3,9,0.814866,36.00
proposed,10,0.778347,36.00
conv,10,0.780875,36.00
3,10,0.818771,36.00
proposed,11,0.783917,36.00
conv,11,0.783910,36.00
3,11,0.824746,36.00
proposed,12,0.802621,36.00
conv,12,0.803132,36.00
3,12,0.834564,36.00
proposed,13,0.768699,36.00
conv,13,0.766397,36.00
3,13,0.798470,36.00
proposed,14,0.799748,36.00
conv,14,0.799597,36.00
3,14,0.828744,36.00
proposed,15,0.800214,36.00
conv,15,0.798676,36.00
3,15,0.830978,36.00
proposed,16,0.780164,36.00
conv,16,0.779491,36.00
3,16,0.809013,36.00
proposed,17,0.800645,36.00
conv,17,0.796462,36.00
3,17,0.839596,36.00
proposed,18,0.782047,36.00
conv,18,0.781216,36.00
3,18,0.808906,36.00
proposed,19,0.789667,36.00
conv,19,0.786751,36.00
3,19,0.820703,36.00
proposed,20,0.777246,36.00
conv,20,0.777242,36.00
3,20,0.804393,36.00
proposed,21,0.784909,36.00
conv,21,0.785069,36.00
3,21,0.818403,36.00
proposed,22,0.757124,36.00
conv,22,0.756718,36.00
3,22,0.798895,36.00
proposed,23,0.795613,36.00
conv,23,0.791519,36.00
3,23,0.829355,36.00
proposed,24,0.794428,36.00
conv,24,0.791708,36.00
3,24,0.825086,36.00
proposed,25,0.769582,36.00
conv,25,0.770224,36.00
3,25,0.798449,36.00
proposed,26,0.779210,36.00
conv,26,0.778455,36.00
3,26,0.807892,36.00
proposed,27,0.798561,36.00
conv,27,0.796840,36.00
3,27,0.825450,36.00
proposed,28,0.799652,36.00
conv,28,0.800569,36.00
3,28,0.831469,36.00
proposed,29,0.794040,36.00
conv,29,0.791803,36.00
3,29,0.820909,36.00
proposed,30,0.797821,36.00
conv,30,0.797780,36.00
3,30,0.824593,36.00
proposed,31,0.808454,36.00
conv,31,0.807788,36.00
3,31,0.842007,36.00
proposed,32,0.760104,36.00
conv,32,0.759890,36.00
3,32,0.796157,36.00
proposed,33,0.761412,36.00
conv,33,0.760160,36.00
3,33,0.799939,36.00
proposed,34,0.779122,36.00
conv,34,0.780155,36.00
3,34,0.822757,36.00
proposed,35,0.790638,36.00
conv,35,0.791197,36.00
3,35,0.828210,36.00
proposed,36,0.772984,36.00
conv,36,0.773611,36.00
3,36,0.804141,36.00
proposed,37,0.778908,36.00
conv,37,0.778612,36.00
3,37,0.813183,36.00
proposed,38,0.768765,36.00
conv,38,0.766277,36.00
3,38,0.805701,36.00
proposed,39,0.789847,36.00
conv,39,0.790325,36.00
3,39,0.818939,36.00
proposed,40,0.801956,36.00
conv,40,0.802567,36.00
3,40,0.834283,36.00
proposed,41,0.759498,36.00
conv,41,0.757098,36.00
3,41,0.802774,36.00
proposed,42,0.793285,36.00
conv,42,0.792768,36.00
3,42,0.824118,36.00
proposed,43,0.797921,36.00
conv,43,0.798606,36.00
3,43,0.827005,36.00
proposed,44,0.768971,36.00
conv,44,0.766512,36.00
3,44,0.806781,36.00
proposed,45,0.769449,36.00
conv,45,0.769777,36.00
3,45,0.799099,36.00
proposed,46,0.811452,36.00
conv,46,0.810600,36.00
3,46,0.835415,36.00
proposed,47,0.807989,36.00
conv,47,0.806769,36.00
3,47,0.831242,36.00
proposed,48,0.663198,36.00
conv,48,0.663543,36.00
3,48,0.698371,36.00
proposed,49,0.710023,36.00
conv,49,0.708558,36.00
3,49,0.745385,36.00
proposed,50,0.721477,36.00
conv,50,0.721142,36.00
3,50,0.753574,36.00
proposed,51,0.712136,36.00
conv,51,0.710016,36.00
3,51,0.749518,36.00
proposed,52,0.712453,36.00
conv,52,0.710577,36.00
3,52,0.744246,36.00
proposed,53,0.719882,36.00
conv,53,0.719053,36.00
3,53,0.756565,36.00
proposed,54,0.777468,36.00
conv,54,0.776957,36.00
3,54,0.812527,36.00
proposed,55,0.753895,36.00
conv,55,0.752679,36.00
3,55,0.788689,36.00
proposed,56,0.765307,36.00
conv,56,0.763649,36.00
3,56,0.791479,36.00
proposed,57,0.719499,36.00
conv,57,0.719460,36.00
3,57,0.753700,36.00
proposed,58,0.761176,36.00
conv,58,0.762663,36.00
3,58,0.788431,36.00
proposed,59,0.680133,36.00
conv,59,0.680275,36.00
3,59,0.712996,36.00
proposed,60,0.747095,36.00
conv,60,0.747969,36.00
3,60,0.788625,36.00
proposed,61,0.705085,36.00
conv,61,0.706284,36.00
3,61,0.744040,36.00
proposed,62,0.810958,36.00
conv,62,0.811183,36.00
3,62,0.834599,36.00
proposed,63,0.767485,36.00
conv,63,0.768145,36.00
3,63,0.801876,36.00
proposed,64,0.786205,36.00
conv,64,0.788143,36.00
3,64,0.818049,36.00
proposed,65,0.781364,36.00
conv,65,0.784461,36.00
3,65,0.825355,36.00
proposed,66,0.778172,36.00
conv,66,0.777618,36.00
3,66,0.819379,36.00
proposed,67,0.792158,36.00
conv,67,0.789176,36.00
3,67,0.827638,36.00
proposed,68,0.749961,36.00
conv,68,0.754562,36.00
3,68,0.801386,36.00
proposed,69,0.774245,36.00
conv,69,0.776938,36.00
3,69,0.821821,36.00
proposed,70,0.761959,36.00
conv,70,0.762843,36.00
3,70,0.801886,36.00
proposed,71,0.767292,36.00
conv,71,0.768760,36.00
3,71,0.806924,36.00
proposed,72,0.764909,36.00
conv,72,0.770924,36.00
3,72,0.821776,36.00
proposed,73,0.759000,36.00
conv,73,0.759071,36.00
3,73,0.803971,36.00
proposed,74,0.760477,36.00
conv,74,0.762321,36.00
3,74,0.808282,36.00
proposed,75,0.791417,36.00
conv,75,0.790241,36.00
3,75,0.830803,36.00
proposed,76,0.759982,36.00
conv,76,0.762628,36.00
3,76,0.805835,36.00
proposed,77,0.752930,36.00
conv,77,0.759238,36.00
3,77,0.795855,36.00
proposed,78,0.772474,36.00
conv,78,0.772640,36.00
3,78,0.818185,36.00
proposed,79,0.761156,36.00
conv,79,0.772482,36.00
3,79,0.807779,36.00
proposed,80,0.750835,36.00
conv,80,0.750888,36.00
3,80,0.788929,36.00
proposed,81,0.811001,36.00
conv,81,0.811070,36.00
3,81,0.843722,36.00
proposed,82,0.797908,36.00
conv,82,0.796056,36.00
3,82,0.832225,36.00
proposed,83,0.821648,36.00
conv,83,0.820281,36.00
3,83,0.853253,36.00
proposed,84,0.831588,36.00
conv,84,0.831460,36.00
3,84,0.859905,36.00
proposed,85,0.804710,36.00
conv,85,0.804860,36.00
3,85,0.838233,36.00
proposed,86,0.812337,36.00
conv,86,0.810508,36.00
3,86,0.846717,36.00
proposed,87,0.819201,36.00
conv,87,0.818544,36.00
3,87,0.846874,36.00
proposed,88,0.788317,36.00
conv,88,0.789807,36.00
3,88,0.822872,36.00
proposed,89,0.815277,36.00
conv,89,0.816989,36.00
3,89,0.844096,36.00
proposed,90,0.819368,36.00
conv,90,0.818883,36.00
3,90,0.854009,36.00
proposed,91,0.838839,36.00
conv,91,0.839065,36.00
3,91,0.864373,36.00
proposed,92,0.836833,36.00
conv,92,0.837355,36.00
3,92,0.863883,36.00
proposed,93,0.822947,36.00
conv,93,0.823615,36.00
3,93,0.850357,36.00
proposed,94,0.831322,36.00
conv,94,0.830665,36.00
3,94,0.866236,36.00
proposed,95,0.821421,36.00
conv,95,0.818191,36.00
3,95,0.847358,36.00
proposed,96,0.794373,36.00
conv,96,0.794492,36.00
3,96,0.819180,36.00
proposed,97,0.797165,36.00
conv,97,0.797840,36.00
3,97,0.828505,36.00
proposed,98,0.774493,36.00
conv,98,0.772828,36.00
3,98,0.803196,36.00
proposed,99,0.811093,36.00
conv,99,0.810505,36.00
3,99,0.836634,36.00proposed,0,0.759658,100.00
conv,0,0.754516,100.00
3,0,0.798120,100.00
proposed,1,0.773153,100.00
conv,1,0.770817,100.00
3,1,0.796977,100.00
proposed,2,0.771702,100.00
conv,2,0.770552,100.00
3,2,0.803276,100.00
proposed,3,0.781365,100.00
conv,3,0.780830,100.00
3,3,0.815867,100.00
proposed,4,0.777869,100.00
conv,4,0.778041,100.00
3,4,0.813436,100.00
proposed,5,0.787614,100.00
conv,5,0.787177,100.00
3,5,0.818447,100.00
proposed,6,0.785204,100.00
conv,6,0.783510,100.00
3,6,0.819025,100.00
proposed,7,0.826858,100.00
conv,7,0.826975,100.00
3,7,0.847238,100.00
proposed,8,0.802823,100.00
conv,8,0.801764,100.00
3,8,0.834753,100.00
proposed,9,0.778281,100.00
conv,9,0.778103,100.00
3,9,0.815944,100.00
proposed,10,0.778795,100.00
conv,10,0.780352,100.00
3,10,0.817350,100.00
proposed,11,0.784418,100.00
conv,11,0.783334,100.00
3,11,0.824000,100.00
proposed,12,0.802657,100.00
conv,12,0.803696,100.00
3,12,0.834452,100.00
proposed,13,0.768621,100.00
conv,13,0.766759,100.00
3,13,0.798377,100.00
proposed,14,0.799403,100.00
conv,14,0.798842,100.00
3,14,0.829452,100.00
proposed,15,0.799939,100.00
conv,15,0.799475,100.00
3,15,0.830961,100.00
proposed,16,0.777277,100.00
conv,16,0.778391,100.00
3,16,0.809329,100.00
proposed,17,0.801218,100.00
conv,17,0.801848,100.00
3,17,0.839904,100.00
proposed,18,0.782848,100.00
conv,18,0.778016,100.00
3,18,0.813085,100.00
proposed,19,0.789003,100.00
conv,19,0.787677,100.00
3,19,0.824274,100.00
proposed,20,0.777380,100.00
conv,20,0.777202,100.00
3,20,0.805747,100.00
proposed,21,0.785413,100.00
conv,21,0.784334,100.00
3,21,0.817893,100.00
proposed,22,0.755728,100.00
conv,22,0.757010,100.00
3,22,0.799076,100.00
proposed,23,0.794350,100.00
conv,23,0.795302,100.00
3,23,0.829115,100.00
proposed,24,0.793582,100.00
conv,24,0.792403,100.00
3,24,0.824973,100.00
proposed,25,0.769698,100.00
conv,25,0.770143,100.00
3,25,0.798387,100.00
proposed,26,0.779010,100.00
conv,26,0.776559,100.00
3,26,0.807959,100.00
proposed,27,0.798623,100.00
conv,27,0.797995,100.00
3,27,0.825785,100.00
proposed,28,0.799848,100.00
conv,28,0.799385,100.00
3,28,0.831098,100.00
proposed,29,0.793719,100.00
conv,29,0.792066,100.00
3,29,0.821040,100.00
proposed,30,0.798031,100.00
conv,30,0.796925,100.00
3,30,0.824138,100.00
proposed,31,0.808225,100.00
conv,31,0.807765,100.00
3,31,0.842037,100.00
proposed,32,0.760432,100.00
conv,32,0.757514,100.00
3,32,0.795914,100.00
proposed,33,0.760913,100.00
conv,33,0.760461,100.00
3,33,0.798894,100.00
proposed,34,0.779676,100.00
conv,34,0.778024,100.00
3,34,0.822318,100.00
proposed,35,0.791696,100.00
conv,35,0.790671,100.00
3,35,0.827911,100.00
proposed,36,0.774492,100.00
conv,36,0.772756,100.00
3,36,0.804429,100.00
proposed,37,0.779366,100.00
conv,37,0.778933,100.00
3,37,0.812543,100.00
proposed,38,0.767764,100.00
conv,38,0.766067,100.00
3,38,0.805322,100.00
proposed,39,0.789784,100.00
conv,39,0.790131,100.00
3,39,0.819393,100.00
proposed,40,0.801460,100.00
conv,40,0.802044,100.00
3,40,0.833793,100.00
proposed,41,0.759359,100.00
conv,41,0.760428,100.00
3,41,0.803024,100.00
proposed,42,0.793199,100.00
conv,42,0.792350,100.00
3,42,0.824006,100.00
proposed,43,0.798195,100.00
conv,43,0.797307,100.00
3,43,0.826724,100.00
proposed,44,0.767247,100.00
conv,44,0.768017,100.00
3,44,0.805568,100.00
proposed,45,0.768307,100.00
conv,45,0.766655,100.00
3,45,0.801678,100.00
proposed,46,0.811036,100.00
conv,46,0.807534,100.00
3,46,0.835763,100.00
proposed,47,0.807791,100.00
conv,47,0.806972,100.00
3,47,0.831340,100.00
proposed,48,0.663135,100.00
conv,48,0.664556,100.00
3,48,0.699645,100.00
proposed,49,0.710181,100.00
conv,49,0.710474,100.00
3,49,0.746493,100.00
proposed,50,0.722670,100.00
conv,50,0.721041,100.00
3,50,0.754396,100.00
proposed,51,0.711816,100.00
conv,51,0.711609,100.00
3,51,0.748474,100.00
proposed,52,0.712799,100.00
conv,52,0.712606,100.00
3,52,0.744959,100.00
proposed,53,0.720182,100.00
conv,53,0.719273,100.00
3,53,0.756244,100.00
proposed,54,0.778112,100.00
conv,54,0.775110,100.00
3,54,0.810528,100.00
proposed,55,0.752444,100.00
conv,55,0.749309,100.00
3,55,0.788596,100.00
proposed,56,0.764189,100.00
conv,56,0.765123,100.00
3,56,0.793173,100.00
proposed,57,0.720204,100.00
conv,57,0.720700,100.00
3,57,0.754043,100.00
proposed,58,0.761407,100.00
conv,58,0.762683,100.00
3,58,0.788996,100.00
proposed,59,0.679354,100.00
conv,59,0.680285,100.00
3,59,0.712579,100.00
proposed,60,0.748631,100.00
conv,60,0.747089,100.00
3,60,0.786693,100.00
proposed,61,0.706916,100.00
conv,61,0.705167,100.00
