method,audio_id,estoi,tx_gain_db
proposed,75,0.238206,28.00
conv,75,0.023952,28.00
3,75,0.048676,28.00
proposed,76,0.200160,28.00
conv,76,0.004827,28.00
3,76,0.039581,28.00
proposed,77,0.235172,28.00
conv,77,0.024286,28.00
3,77,0.034272,28.00
proposed,78,0.112019,28.00
conv,78,0.010638,28.00
3,78,0.001771,28.00
proposed,79,0.002074,28.00
conv,79,0.000455,28.00
3,79,-0.001156,28.00
proposed,80,0.047640,28.00
conv,80,-0.015901,28.00
3,80,-0.002040,28.00
proposed,81,-0.001611,28.00
conv,81,-0.001131,28.00
3,81,-0.002964,28.00
proposed,82,-0.001590,28.00
conv,82,-0.000529,28.00
3,82,-0.003524,28.00
proposed,83,-0.002472,28.00
conv,83,-0.000976,28.00
3,83,-0.001424,28.00
proposed,84,0.002244,28.00
conv,84,0.002804,28.00
3,84,-0.003557,28.00
proposed,85,0.000376,28.00
conv,85,-0.002764,28.00
3,85,0.001662,28.00
proposed,86,0.001921,28.00
conv,86,-0.000022,28.00
3,86,-0.005187,28.00
proposed,87,0.050786,28.00
conv,87,0.005191,28.00
3,87,-0.012412,28.00
proposed,88,0.232558,28.00
conv,88,0.032758,28.00
3,88,0.045186,28.00
proposed,89,0.273257,28.00
conv,89,0.007619,28.00
3,89,0.070440,28.00
proposed,90,0.231805,28.00
conv,90,0.022305,28.00
3,90,0.018186,28.00
proposed,91,0.280495,28.00
conv,91,0.007659,28.00
3,91,0.013860,28.00
proposed,92,0.179669,28.00
conv,92,-0.000237,28.00
3,92,-0.007441,28.00
proposed,93,0.197233,28.00
conv,93,0.032144,28.00
3,93,0.021067,28.00
proposed,94,0.186328,28.00
conv,94,0.032034,28.00
3,94,0.063655,28.00
proposed,95,0.284663,28.00
conv,95,0.004271,28.00
3,95,0.047159,28.00
proposed,96,0.331390,28.00
conv,96,0.019645,28.00
3,96,0.068377,28.00
proposed,97,0.067317,28.00
conv,97,-0.004392,28.00
3,97,0.029739,28.00
proposed,98,0.213377,28.00
conv,98,0.024761,28.00
3,98,0.034364,28.00
proposed,99,0.269849,28.00
conv,99,-0.001572,28.00
3,99,0.018336,28.00
proposed,0,0.347370,30.00
conv,0,0.019642,30.00
3,0,0.047115,30.00
proposed,1,0.328070,30.00
conv,1,0.037948,30.00
3,1,0.081641,30.00
proposed,2,0.518331,30.00
conv,2,0.102693,30.00
3,2,0.156223,30.00
proposed,3,0.478546,30.00
conv,3,0.099469,30.00
3,3,0.151608,30.00
proposed,4,0.468122,30.00
conv,4,0.110526,30.00
3,4,0.126671,30.00
proposed,5,0.518125,30.00
conv,5,0.096168,30.00
3,5,0.143856,30.00
proposed,6,0.502195,30.00
conv,6,0.085123,30.00
3,6,0.139768,30.00
proposed,7,0.538285,30.00
conv,7,0.088209,30.00
3,7,0.200670,30.00
proposed,8,0.513846,30.00
conv,8,0.093461,30.00
3,8,0.160820,30.00
proposed,9,0.459439,30.00
conv,9,0.083496,30.00
3,9,0.175698,30.00
proposed,10,0.474249,30.00
conv,10,0.094214,30.00
3,10,0.160772,30.00
proposed,11,0.520158,30.00
conv,11,0.120622,30.00
3,11,0.182674,30.00
proposed,12,0.504556,30.00
conv,12,0.102205,30.00
3,12,0.157945,30.00
proposed,13,0.452669,30.00
conv,13,0.073696,30.00
3,13,0.113684,30.00
proposed,14,0.499843,30.00
conv,14,0.077919,30.00
