method,audio_id,pesq,tx_gain_db
3,47,1.034110,27.00
proposed,48,1.126513,27.00
conv,48,1.030796,27.00
ldpc,48,1.063634,27.00
3,48,1.063475,27.00
proposed,49,1.120553,27.00
conv,49,1.071044,27.00
ldpc,49,1.049840,27.00
3,49,1.071424,27.00
proposed,50,1.093355,27.00
conv,50,1.046563,27.00
ldpc,50,1.037664,27.00
3,50,1.079479,27.00
proposed,51,1.137305,27.00
conv,51,1.041993,27.00
ldpc,51,1.084075,27.00
3,51,1.043559,27.00
proposed,52,1.111083,27.00
conv,52,1.067381,27.00
ldpc,52,1.049527,27.00
3,52,1.036153,27.00
proposed,53,1.096263,27.00
conv,53,1.187109,27.00
ldpc,53,1.045079,27.00
3,53,1.040629,27.00
proposed,54,1.085742,27.00
conv,54,1.028407,27.00
ldpc,54,1.027536,27.00
3,54,1.029634,27.00
proposed,55,1.110336,27.00
conv,55,1.035359,27.00
ldpc,55,1.045309,27.00
3,55,1.036918,27.00
proposed,56,1.123735,27.00
conv,56,1.035930,27.00
ldpc,56,1.076103,27.00
3,56,1.054144,27.00
proposed,57,1.093294,27.00
conv,57,1.034026,27.00
ldpc,57,1.040989,27.00
3,57,1.039957,27.00
proposed,58,1.148859,27.00
conv,58,1.049117,27.00
ldpc,58,1.048439,27.00
3,58,1.052293,27.00
proposed,59,1.076293,27.00
conv,59,1.077076,27.00
ldpc,59,1.144072,27.00
3,59,1.100513,27.00
proposed,60,1.129146,27.00
conv,60,1.063893,27.00
ldpc,60,1.065416,27.00
3,60,1.044820,27.00
proposed,61,1.096252,27.00
conv,61,1.071884,27.00
ldpc,61,1.102771,27.00
3,61,1.053978,27.00
proposed,62,1.118585,27.00
conv,62,1.038082,27.00
ldpc,62,1.050425,27.00
3,62,1.082783,27.00
proposed,63,1.092549,27.00
conv,63,1.064239,27.00
ldpc,63,1.038481,27.00
3,63,1.035143,27.00
proposed,64,1.131187,27.00
conv,64,1.058656,27.00
ldpc,64,1.085232,27.00
3,64,1.052983,27.00
proposed,65,1.079948,27.00
conv,65,1.041903,27.00
ldpc,65,1.039840,27.00
3,65,1.067813,27.00
proposed,66,1.024836,27.00
conv,66,1.027253,27.00
ldpc,66,1.029487,27.00
3,66,1.023726,27.00
proposed,67,1.033119,27.00
conv,67,1.034238,27.00
ldpc,67,1.037870,27.00
3,67,1.038689,27.00
proposed,68,1.053225,27.00
conv,68,1.040094,27.00
ldpc,68,1.042111,27.00
3,68,1.039256,27.00
proposed,69,1.075883,27.00
conv,69,1.072194,27.00
ldpc,69,1.069777,27.00
3,69,1.070626,27.00
proposed,70,1.034799,27.00
conv,70,1.034883,27.00
ldpc,70,1.034500,27.00
3,70,1.033772,27.00
proposed,71,1.047241,27.00
conv,71,1.062588,27.00
ldpc,71,1.082975,27.00
3,71,1.040518,27.00
proposed,72,1.108385,27.00
conv,72,1.152929,27.00
ldpc,72,1.088758,27.00
3,72,1.106730,27.00
proposed,73,1.089865,27.00
conv,73,1.031763,27.00
ldpc,73,1.034003,27.00
3,73,1.032472,27.00
proposed,75,1.101277,27.00
conv,75,1.028689,27.00
ldpc,75,1.028530,27.00
3,75,1.028811,27.00
proposed,76,1.043178,27.00
conv,76,1.032950,27.00
ldpc,76,1.047883,27.00
3,76,1.037567,27.00
proposed,77,1.053943,27.00
conv,77,1.044373,27.00
ldpc,77,1.045195,27.00
3,77,1.069955,27.00
proposed,78,1.037523,27.00
conv,78,1.029255,27.00
ldpc,78,1.026747,27.00
3,78,1.027348,27.00
proposed,79,1.044277,27.00
conv,79,1.046147,27.00
ldpc,79,1.051421,27.00
3,79,1.044674,27.00
proposed,80,1.030820,27.00
conv,80,1.034977,27.00
ldpc,80,1.034048,27.00
3,80,1.219587,27.00
proposed,81,1.037870,27.00
conv,81,1.029095,27.00
ldpc,81,1.060329,27.00
3,81,1.022142,27.00
