method,audio_id,pesq,tx_gain_db
proposed,42,1.143770,31.00
conv,42,1.029859,31.00
ldpc,42,1.054904,31.00
3,42,1.031688,31.00
proposed,43,1.154415,31.00
conv,43,1.028981,31.00
ldpc,43,1.038610,31.00
3,43,1.034852,31.00
proposed,44,1.144464,31.00
conv,44,1.046901,31.00
ldpc,44,1.038658,31.00
3,44,1.031058,31.00
proposed,45,1.079718,31.00
conv,45,1.036881,31.00
ldpc,45,1.041753,31.00
3,45,1.052616,31.00
proposed,46,1.117819,31.00
conv,46,1.031343,31.00
ldpc,46,1.027726,31.00
3,46,1.029833,31.00
proposed,47,1.106765,31.00
conv,47,1.052663,31.00
ldpc,47,1.039597,31.00
3,47,1.029613,31.00
proposed,48,1.185375,31.00
conv,48,1.102160,31.00
ldpc,48,1.034383,31.00
3,48,1.033334,31.00
proposed,49,1.122475,31.00
conv,49,1.088702,31.00
ldpc,49,1.037830,31.00
3,49,1.052982,31.00
proposed,50,1.180994,31.00
conv,50,1.040662,31.00
ldpc,50,1.050537,31.00
3,50,1.036608,31.00
proposed,51,1.143324,31.00
conv,51,1.055649,31.00
ldpc,51,1.043450,31.00
3,51,1.057217,31.00
proposed,52,1.173626,31.00
conv,52,1.044189,31.00
ldpc,52,1.035971,31.00
3,52,1.037490,31.00
proposed,53,1.108782,31.00
conv,53,1.063742,31.00
ldpc,53,1.095070,31.00
3,53,1.053501,31.00
proposed,54,1.161442,31.00
conv,54,1.042210,31.00
ldpc,54,1.039881,31.00
3,54,1.042269,31.00
proposed,55,1.127393,31.00
conv,55,1.063179,31.00
ldpc,55,1.049984,31.00
3,55,1.044416,31.00
proposed,56,1.110691,31.00
conv,56,1.039727,31.00
ldpc,56,1.047213,31.00
3,56,1.052063,31.00
proposed,57,1.150674,31.00
conv,57,1.041415,31.00
ldpc,57,1.055171,31.00
3,57,1.044425,31.00
proposed,58,1.150974,31.00
conv,58,1.042297,31.00
ldpc,58,1.049586,31.00
3,58,1.041331,31.00
proposed,59,1.075817,31.00
conv,59,1.059605,31.00
ldpc,59,1.089699,31.00
3,59,1.056842,31.00
proposed,60,1.068825,31.00
conv,60,1.039738,31.00
ldpc,60,1.064964,31.00
3,60,1.056359,31.00
proposed,61,1.110058,31.00
conv,61,1.119358,31.00
ldpc,61,1.061123,31.00
3,61,1.050361,31.00
proposed,62,1.104972,31.00
conv,62,1.047164,31.00
ldpc,62,1.050903,31.00
3,62,1.051273,31.00
proposed,63,1.087194,31.00
conv,63,1.050895,31.00
ldpc,63,1.053733,31.00
3,63,1.035746,31.00
proposed,64,1.102704,31.00
conv,64,1.062452,31.00
ldpc,64,1.058085,31.00
3,64,1.048251,31.00
proposed,65,1.040964,31.00
conv,65,1.067231,31.00
ldpc,65,1.059741,31.00
3,65,1.029778,31.00
proposed,66,1.042526,31.00
conv,66,1.039796,31.00
ldpc,66,1.044791,31.00
3,66,1.034362,31.00
proposed,67,1.083388,31.00
conv,67,1.041639,31.00
ldpc,67,1.029301,31.00
3,67,1.030916,31.00
proposed,68,1.056049,31.00
conv,68,1.062221,31.00
ldpc,68,1.034907,31.00
3,68,1.030212,31.00
proposed,69,1.085729,31.00
conv,69,1.030643,31.00
ldpc,69,1.028269,31.00
3,69,1.029260,31.00
proposed,70,1.060086,31.00
conv,70,1.056417,31.00
ldpc,70,1.044497,31.00
3,70,1.032697,31.00
proposed,71,1.079027,31.00
conv,71,1.044740,31.00
ldpc,71,1.040020,31.00
3,71,1.038584,31.00
proposed,72,1.088426,31.00
conv,72,1.033326,31.00
ldpc,72,1.054500,31.00
3,72,1.051148,31.00
proposed,73,1.052257,31.00
conv,73,1.171904,31.00
ldpc,73,1.035653,31.00
3,73,1.031034,31.00
proposed,74,1.057564,31.00
conv,74,1.027080,31.00
ldpc,74,1.027866,31.00
3,74,1.032567,31.00
proposed,75,1.060036,31.00
conv,75,1.031003,31.00
ldpc,75,1.028158,31.00
3,75,1.034850,31.00
proposed,76,1.071087,31.00
conv,76,1.041756,31.00
ldpc,76,1.035826,31.00
3,76,1.035804,31.00
proposed,77,1.088313,31.00
conv,77,1.057140,31.00
ldpc,77,1.046912,31.00
3,77,1.027589,31.00
proposed,78,1.062294,31.00
conv,78,1.032365,31.00
ldpc,78,1.036900,31.00
3,78,1.032401,31.00
proposed,79,1.083641,31.00
conv,79,1.051589,31.00
ldpc,79,1.040514,31.00
3,79,1.036496,31.00
proposed,80,1.055729,31.00
conv,80,1.024970,31.00
ldpc,80,1.036037,31.00
3,80,1.029797,31.00
proposed,81,1.063460,31.00
conv,81,1.024097,31.00
ldpc,81,1.043533,31.00
3,81,1.026092,31.00
proposed,82,1.079640,31.00
conv,82,1.029395,31.00
ldpc,82,1.042115,31.00
3,82,1.028918,31.00
proposed,83,1.058502,31.00
conv,83,1.026884,31.00
ldpc,83,1.022848,31.00
3,83,1.028142,31.00
proposed,84,1.087257,31.00
conv,84,1.027916,31.00
ldpc,84,1.031675,31.00
3,84,1.029872,31.00
proposed,85,1.069731,31.00
conv,85,1.022973,31.00
ldpc,85,1.024810,31.00
3,85,1.029046,31.00
proposed,86,1.071849,31.00
conv,86,1.041840,31.00
ldpc,86,1.042733,31.00
3,86,1.034552,31.00
proposed,87,1.075407,31.00
conv,87,1.028663,31.00
ldpc,87,1.027799,31.00
3,87,1.024983,31.00
proposed,88,1.047108,31.00
conv,88,1.035541,31.00
ldpc,88,1.023865,31.00
3,88,1.024768,31.00
proposed,89,1.063275,31.00
conv,89,1.024020,31.00
ldpc,89,1.030825,31.00
3,89,1.027722,31.00
proposed,90,1.055557,31.00
conv,90,1.048740,31.00
ldpc,90,1.038165,31.00
3,90,1.080052,31.00
proposed,91,1.074905,31.00
conv,91,1.036396,31.00
ldpc,91,1.028443,31.00
3,91,1.030896,31.00
proposed,92,1.070955,31.00
conv,92,1.028216,31.00
ldpc,92,1.033566,31.00
3,92,1.031346,31.00
proposed,93,1.095264,31.00
conv,93,1.025301,31.00
ldpc,93,1.053793,31.00
3,93,1.044391,31.00
proposed,94,1.094064,31.00
conv,94,1.031772,31.00
ldpc,94,1.029733,31.00
3,94,1.029426,31.00
proposed,95,1.095380,31.00
conv,95,1.039232,31.00
ldpc,95,1.027004,31.00
3,95,1.032475,31.00
proposed,96,1.125617,31.00
conv,96,1.029568,31.00
ldpc,96,1.028506,31.00
3,96,1.029900,31.00
proposed,97,1.085321,31.00
conv,97,1.037357,31.00
ldpc,97,1.028368,31.00
3,97,1.029577,31.00
proposed,98,1.126898,31.00
conv,98,1.059061,31.00
ldpc,98,1.035606,31.00
3,98,1.031680,31.00
proposed,99,1.085291,31.00
conv,99,1.033256,31.00
ldpc,99,1.026747,31.00
3,99,1.036666,31.00
proposed,0,1.341672,33.00
conv,0,1.116962,33.00
ldpc,0,1.101165,33.00
3,0,1.055376,33.00
proposed,1,1.744985,33.00
conv,1,1.258943,33.00
ldpc,1,1.367647,33.00
3,1,1.081939,33.00
proposed,2,1.386400,33.00
conv,2,1.096469,33.00
ldpc,2,1.129056,33.00
3,2,1.044334,33.00
proposed,3,1.376808,33.00
conv,3,1.192697,33.00
ldpc,3,1.135153,33.00
3,3,1.045416,33.00
proposed,4,1.566408,33.00
conv,4,1.160863,33.00
ldpc,4,1.690490,33.00
3,4,1.056839,33.00
proposed,5,1.622485,33.00
conv,5,1.139128,33.00
ldpc,5,1.214369,33.00
3,5,1.050384,33.00
proposed,6,1.559951,33.00
conv,6,1.142937,33.00
ldpc,6,1.218862,33.00
3,6,1.047371,33.00
proposed,7,1.623279,33.00
conv,7,1.161709,33.00
ldpc,7,1.240935,33.00
3,7,1.049112,33.00
proposed,8,1.640704,33.00
conv,8,1.161317,33.00
ldpc,8,1.147024,33.00
3,8,1.056783,33.00
proposed,9,1.481668,33.00
conv,9,1.126764,33.00
ldpc,9,1.095015,33.00
3,9,1.048481,33.00
proposed,10,1.291748,33.00
conv,10,1.105047,33.00
ldpc,10,1.084005,33.00
3,10,1.044826,33.00
proposed,11,1.325666,33.00
conv,11,1.105014,33.00
ldpc,11,1.134459,33.00
3,11,1.049667,33.00
proposed,12,1.555278,33.00
conv,12,1.171861,33.00
ldpc,12,1.161217,33.00
3,12,1.056273,33.00
proposed,13,1.520883,33.00
conv,13,1.165158,33.00
ldpc,13,1.133852,33.00
3,13,1.051163,33.00
proposed,14,1.439057,33.00
conv,14,1.108998,33.00
ldpc,14,1.115436,33.00
3,14,1.045359,33.00
proposed,15,1.576297,33.00
conv,15,1.242567,33.00
ldpc,15,1.364130,33.00
3,15,1.062153,33.00
proposed,16,1.648128,33.00
conv,16,1.302191,33.00
ldpc,16,2.117316,33.00
3,16,1.075470,33.00
proposed,17,1.069806,33.00
conv,17,1.043544,33.00
ldpc,17,1.056538,33.00
3,17,1.034440,33.00
proposed,18,1.151553,33.00
conv,18,1.067921,33.00
ldpc,18,1.082404,33.00
3,18,1.044398,33.00
proposed,19,1.628598,33.00
conv,19,1.208291,33.00
ldpc,19,1.418707,33.00
3,19,1.059247,33.00
proposed,20,1.249581,33.00
conv,20,1.057936,33.00
ldpc,20,1.058309,33.00
3,20,1.038988,33.00
proposed,21,1.539682,33.00
conv,21,1.153096,33.00
ldpc,21,1.242844,33.00
3,21,1.046533,33.00
proposed,22,1.454707,33.00
conv,22,1.124442,33.00
ldpc,22,1.107388,33.00
3,22,1.050644,33.00
proposed,23,1.390026,33.00
conv,23,1.104230,33.00
ldpc,23,1.195563,33.00
3,23,1.046123,33.00
proposed,24,1.552197,33.00
conv,24,1.156167,33.00
ldpc,24,1.137535,33.00
3,24,1.048118,33.00
proposed,25,1.492778,33.00
conv,25,1.162409,33.00
ldpc,25,1.139132,33.00
3,25,1.054640,33.00
proposed,26,1.458094,33.00
conv,26,1.104253,33.00
ldpc,26,1.103621,33.00
3,26,1.049520,33.00
proposed,27,1.507459,33.00
conv,27,1.125792,33.00
ldpc,27,1.096090,33.00
3,27,1.051083,33.00
proposed,28,1.492514,33.00
conv,28,1.132873,33.00
ldpc,28,1.154666,33.00
3,28,1.054575,33.00
proposed,29,1.304860,33.00
conv,29,1.090366,33.00
ldpc,29,1.101306,33.00
3,29,1.047330,33.00
proposed,30,1.333053,33.00
conv,30,1.112782,33.00
ldpc,30,1.090661,33.00
3,30,1.048587,33.00
proposed,31,1.525928,33.00
conv,31,1.180478,33.00
ldpc,31,1.275196,33.00
3,31,1.051536,33.00
proposed,32,1.421457,33.00
conv,32,1.110859,33.00
ldpc,32,1.083947,33.00
3,32,1.044999,33.00
proposed,33,1.503168,33.00
conv,33,1.158747,33.00
ldpc,33,1.337598,33.00
3,33,1.057376,33.00
proposed,34,1.586059,33.00
conv,34,1.222793,33.00
ldpc,34,1.243511,33.00
3,34,1.057187,33.00
proposed,35,1.336584,33.00
conv,35,1.121886,33.00
ldpc,35,1.081364,33.00
3,35,1.045503,33.00
proposed,36,1.664153,33.00
conv,36,1.478685,33.00
ldpc,36,2.233150,33.00
3,36,1.078582,33.00
proposed,37,1.379883,33.00
conv,37,1.210409,33.00
ldpc,37,1.368179,33.00
3,37,1.057941,33.00
proposed,38,1.804891,33.00
conv,38,1.815671,33.00
ldpc,38,2.222955,33.00
3,38,1.081799,33.00
proposed,39,1.740953,33.00
conv,39,1.374121,33.00
ldpc,39,2.215997,33.00
3,39,1.074666,33.00
proposed,40,1.377953,33.00
conv,40,1.156763,33.00
ldpc,40,1.348891,33.00
3,40,1.061233,33.00
proposed,41,1.804839,33.00
conv,41,1.588842,33.00
ldpc,41,2.249335,33.00
3,41,1.114726,33.00
proposed,42,2.018110,33.00
conv,42,2.252285,33.00
ldpc,42,2.254877,33.00
3,42,1.144550,33.00
proposed,43,1.854997,33.00
conv,43,2.021508,33.00
ldpc,43,2.047853,33.00
3,43,1.108645,33.00
proposed,44,1.811640,33.00
conv,44,2.037312,33.00
ldpc,44,2.042274,33.00
3,44,1.155769,33.00
proposed,45,1.236964,33.00
conv,45,1.034926,33.00
ldpc,45,1.036284,33.00
3,45,1.031257,33.00
proposed,46,1.191812,33.00
conv,46,1.032163,33.00
ldpc,46,1.030740,33.00
3,46,1.028091,33.00
proposed,47,1.611774,33.00
conv,47,1.430121,33.00
ldpc,47,2.134802,33.00
3,47,1.068536,33.00
proposed,48,1.097365,33.00
conv,48,1.033017,33.00
ldpc,48,1.068953,33.00
3,48,1.035111,33.00
proposed,49,1.111066,33.00
conv,49,1.045578,33.00
ldpc,49,1.053054,33.00
3,49,1.046657,33.00
proposed,50,1.349235,33.00
conv,50,1.099736,33.00
ldpc,50,1.070484,33.00
3,50,1.046028,33.00
proposed,51,1.301680,33.00
conv,51,1.125558,33.00
ldpc,51,1.174525,33.00
3,51,1.049625,33.00
proposed,52,1.559649,33.00
conv,52,1.232953,33.00
ldpc,52,1.468069,33.00
3,52,1.054498,33.00
proposed,53,1.351436,33.00
conv,53,1.156595,33.00
ldpc,53,1.223006,33.00
3,53,1.059951,33.00
proposed,54,1.458130,33.00
conv,54,1.304344,33.00
ldpc,54,1.500339,33.00
3,54,1.066120,33.00
proposed,55,1.467104,33.00
conv,55,1.354664,33.00
ldpc,55,1.814884,33.00
3,55,1.076549,33.00
proposed,56,1.369940,33.00
conv,56,1.184568,33.00
ldpc,56,1.327598,33.00
3,56,1.066289,33.00
proposed,57,1.244010,33.00
conv,57,1.081482,33.00
ldpc,57,1.071874,33.00
3,57,1.049784,33.00
proposed,58,1.493439,33.00
conv,58,1.113681,33.00
ldpc,58,1.085337,33.00
3,58,1.053887,33.00
proposed,59,1.350377,33.00
conv,59,1.093056,33.00
ldpc,59,1.076234,33.00
3,59,1.044666,33.00
proposed,60,1.300769,33.00
conv,60,1.068640,33.00
ldpc,60,1.065466,33.00
3,60,1.047107,33.00
proposed,61,1.354807,33.00
conv,61,1.090248,33.00
ldpc,61,1.071630,33.00
3,61,1.049559,33.00
proposed,62,1.208905,33.00
conv,62,1.040108,33.00
ldpc,62,1.040194,33.00
3,62,1.044736,33.00
proposed,63,1.159072,33.00
conv,63,1.030255,33.00
ldpc,63,1.033309,33.00
3,63,1.041393,33.00
proposed,64,1.243996,33.00
conv,64,1.063630,33.00
ldpc,64,1.060276,33.00
3,64,1.038658,33.00
proposed,65,1.076238,33.00
conv,65,1.030257,33.00
ldpc,65,1.030755,33.00
3,65,1.028051,33.00
proposed,66,1.090621,33.00
conv,66,1.031058,33.00
ldpc,66,1.026985,33.00
3,66,1.027885,33.00
proposed,67,1.388731,33.00
conv,67,1.386390,33.00
ldpc,67,1.664228,33.00
3,67,1.059259,33.00
proposed,68,1.236316,33.00
conv,68,1.387813,33.00
ldpc,68,1.488104,33.00
3,68,1.090958,33.00
proposed,69,1.175716,33.00
conv,69,1.123171,33.00
ldpc,69,1.140591,33.00
3,69,1.059454,33.00
proposed,70,1.263644,33.00
conv,70,1.284848,33.00
ldpc,70,1.480574,33.00
3,70,1.057606,33.00
proposed,71,1.256654,33.00
conv,71,1.289616,33.00
ldpc,71,1.577835,33.00
3,71,1.080899,33.00
proposed,72,1.144932,33.00
conv,72,1.044859,33.00
ldpc,72,1.038779,33.00
3,72,1.041635,33.00
proposed,73,1.052342,33.00
conv,73,1.030363,33.00
ldpc,73,1.058458,33.00
3,73,1.042651,33.00
proposed,74,1.083375,33.00
conv,74,1.080239,33.00
ldpc,74,1.087895,33.00
3,74,1.067469,33.00
proposed,75,1.052339,33.00
conv,75,1.029455,33.00
ldpc,75,1.026359,33.00
3,75,1.025916,33.00
proposed,76,1.110021,33.00
conv,76,1.036201,33.00
ldpc,76,1.032175,33.00
3,76,1.033188,33.00
proposed,77,1.141850,33.00
conv,77,1.036771,33.00
ldpc,77,1.047899,33.00
3,77,1.034146,33.00
proposed,78,1.096332,33.00
conv,78,1.049453,33.00
ldpc,78,1.035046,33.00
3,78,1.032753,33.00
proposed,79,1.133384,33.00
conv,79,1.043743,33.00
ldpc,79,1.042333,33.00
3,79,1.037705,33.00
proposed,80,1.077439,33.00
conv,80,1.047206,33.00
ldpc,80,1.037531,33.00
3,80,1.026601,33.00
proposed,81,1.195140,33.00
conv,81,1.061024,33.00
ldpc,81,1.034525,33.00
3,81,1.035510,33.00
proposed,82,1.217607,33.00
conv,82,1.051159,33.00
ldpc,82,1.050461,33.00
3,82,1.033936,33.00
proposed,83,1.118998,33.00
conv,83,1.050937,33.00
ldpc,83,1.034469,33.00
3,83,1.032033,33.00
proposed,84,1.199669,33.00
conv,84,1.049283,33.00
ldpc,84,1.034325,33.00
3,84,1.029914,33.00
proposed,85,1.159319,33.00
conv,85,1.061472,33.00
ldpc,85,1.048133,33.00
3,85,1.032612,33.00
proposed,86,1.177683,33.00
conv,86,1.049397,33.00
ldpc,86,1.038742,33.00
3,86,1.035043,33.00
proposed,87,1.213348,33.00
conv,87,1.109334,33.00
ldpc,87,1.074016,33.00
3,87,1.042669,33.00
proposed,88,1.133355,33.00
conv,88,1.085196,33.00
ldpc,88,1.064982,33.00
3,88,1.028475,33.00
proposed,89,1.082559,33.00
conv,89,1.071795,33.00
ldpc,89,1.050767,33.00
3,89,1.029860,33.00
proposed,90,1.199442,33.00
conv,90,1.106495,33.00
ldpc,90,1.125555,33.00
3,90,1.045525,33.00
proposed,91,1.251908,33.00
conv,91,1.118073,33.00
ldpc,91,1.079453,33.00
3,91,1.045831,33.00
proposed,92,1.284251,33.00
conv,92,1.139799,33.00
ldpc,92,1.098420,33.00
3,92,1.064273,33.00
proposed,93,1.440722,33.00
conv,93,1.183379,33.00
ldpc,93,1.240082,33.00
3,93,1.052836,33.00
proposed,94,1.179809,33.00
conv,94,1.106241,33.00
ldpc,94,1.072293,33.00
3,94,1.047640,33.00
proposed,95,1.280774,33.00
conv,95,1.071495,33.00
ldpc,95,1.075813,33.00
3,95,1.042678,33.00
proposed,96,1.267221,33.00
conv,96,1.097351,33.00
ldpc,96,1.061902,33.00
3,96,1.037966,33.00
proposed,97,1.176191,33.00
conv,97,1.091983,33.00
ldpc,97,1.074327,33.00
3,97,1.047658,33.00
proposed,98,1.287358,33.00
conv,98,1.105821,33.00
ldpc,98,1.057905,33.00
3,98,1.046752,33.00
proposed,99,1.204405,33.00
conv,99,1.076167,33.00
ldpc,99,1.068642,33.00
3,99,1.035720,33.00
proposed,0,1.832904,35.00
conv,0,2.009451,35.00
ldpc,0,2.057320,35.00
3,0,1.111412,35.00
proposed,1,1.366735,35.00
conv,1,1.375033,35.00
ldpc,1,1.376627,35.00
3,1,1.102828,35.00
proposed,2,2.027417,35.00
conv,2,2.057050,35.00
ldpc,2,2.304521,35.00
3,2,1.103177,35.00
proposed,3,1.877028,35.00
conv,3,2.138282,35.00
ldpc,3,2.162460,35.00
3,3,1.145101,35.00
proposed,4,1.792574,35.00
conv,4,1.921087,35.00
ldpc,4,2.089980,35.00
3,4,1.153181,35.00
proposed,5,1.910008,35.00
conv,5,2.145385,35.00
ldpc,5,2.316209,35.00
3,5,1.126215,35.00
proposed,6,1.879755,35.00
conv,6,2.065520,35.00
ldpc,6,2.169621,35.00
3,6,1.104291,35.00
proposed,7,2.032924,35.00
conv,7,2.332601,35.00
ldpc,7,2.352910,35.00
3,7,1.131978,35.00
proposed,8,2.070638,35.00
conv,8,2.024704,35.00
ldpc,8,2.350459,35.00
3,8,1.124316,35.00
proposed,9,1.940426,35.00
conv,9,2.011633,35.00
ldpc,9,2.115821,35.00
3,9,1.145662,35.00
proposed,10,2.188408,35.00
conv,10,2.210689,35.00
ldpc,10,2.215206,35.00
3,10,1.568035,35.00
proposed,11,2.201960,35.00
conv,11,2.259535,35.00
ldpc,11,2.264320,35.00
3,11,1.341479,35.00
proposed,12,1.629818,35.00
conv,12,1.192714,35.00
ldpc,12,1.293397,35.00
3,12,1.064041,35.00
proposed,13,1.618082,35.00
conv,13,1.191156,35.00
ldpc,13,1.411823,35.00
3,13,1.072963,35.00
proposed,14,1.489703,35.00
conv,14,1.221369,35.00
ldpc,14,1.534562,35.00
3,14,1.055712,35.00
proposed,15,1.505144,35.00
conv,15,1.228193,35.00
ldpc,15,1.321593,35.00
3,15,1.049716,35.00
proposed,16,1.732282,35.00
conv,16,1.292715,35.00
ldpc,16,1.391677,35.00
3,16,1.061494,35.00
proposed,17,1.489074,35.00
conv,17,1.227293,35.00
ldpc,17,1.598497,35.00
3,17,1.057104,35.00
proposed,18,1.282266,35.00
conv,18,1.134970,35.00
ldpc,18,1.363051,35.00
3,18,1.059118,35.00
proposed,19,1.568102,35.00
conv,19,1.199602,35.00
ldpc,19,1.826587,35.00
3,19,1.076093,35.00
proposed,20,1.554551,35.00
conv,20,1.150547,35.00
ldpc,20,1.222259,35.00
3,20,1.047422,35.00
proposed,21,1.572213,35.00
conv,21,1.178764,35.00
ldpc,21,1.219575,35.00
3,21,1.052125,35.00
proposed,22,1.427179,35.00
conv,22,1.197048,35.00
ldpc,22,1.339606,35.00
3,22,1.087695,35.00
proposed,23,1.391128,35.00
conv,23,1.177065,35.00
ldpc,23,1.275118,35.00
3,23,1.063470,35.00
proposed,24,1.633456,35.00
conv,24,1.395042,35.00
ldpc,24,1.920356,35.00
3,24,1.068597,35.00
proposed,25,1.560921,35.00
conv,25,1.280602,35.00
ldpc,25,1.283782,35.00
3,25,1.067500,35.00
proposed,26,1.504033,35.00
conv,26,1.204628,35.00
ldpc,26,1.483659,35.00
3,26,1.090218,35.00
proposed,27,1.650996,35.00
conv,27,1.429878,35.00
ldpc,27,1.682097,35.00
3,27,1.065411,35.00
proposed,28,1.568970,35.00
conv,28,1.321792,35.00
ldpc,28,1.626614,35.00
3,28,1.068632,35.00
proposed,29,1.569135,35.00
conv,29,1.277805,35.00
ldpc,29,2.012364,35.00
3,29,1.061803,35.00
proposed,30,1.561896,35.00
conv,30,1.197461,35.00
ldpc,30,1.402933,35.00
3,30,1.075769,35.00
proposed,31,1.963144,35.00
conv,31,2.105649,35.00
ldpc,31,2.115460,35.00
3,31,1.191428,35.00
proposed,32,2.001418,35.00
conv,32,2.084072,35.00
ldpc,32,2.164333,35.00
3,32,1.149967,35.00
proposed,33,1.937999,35.00
conv,33,2.045621,35.00
ldpc,33,2.138040,35.00
3,33,1.180189,35.00
proposed,34,1.989601,35.00
conv,34,2.234015,35.00
ldpc,34,2.269200,35.00
3,34,1.280833,35.00
proposed,35,2.021097,35.00
conv,35,2.216959,35.00
ldpc,35,2.224529,35.00
3,35,1.197690,35.00
proposed,36,1.359867,35.00
conv,36,1.303417,35.00
ldpc,36,1.313311,35.00
3,36,1.115955,35.00
proposed,37,1.714414,35.00
conv,37,1.735540,35.00
ldpc,37,2.100449,35.00
3,37,1.098978,35.00
proposed,38,1.778156,35.00
conv,38,1.464705,35.00
ldpc,38,2.222955,35.00
3,38,1.074183,35.00
proposed,39,1.798989,35.00
conv,39,1.532357,35.00
ldpc,39,2.215997,35.00
3,39,1.094040,35.00
proposed,40,1.616907,35.00
conv,40,1.679585,35.00
ldpc,40,2.135846,35.00
3,40,1.066057,35.00
proposed,41,1.852813,35.00
conv,41,1.914806,35.00
ldpc,41,2.214046,35.00
3,41,1.087050,35.00
proposed,42,1.862266,35.00
conv,42,1.700670,35.00
ldpc,42,2.254877,35.00
3,42,1.078439,35.00
proposed,43,1.706506,35.00
conv,43,1.372873,35.00
ldpc,43,2.047853,35.00
3,43,1.084215,35.00
proposed,44,1.617570,35.00
conv,44,1.585419,35.00
ldpc,44,1.599108,35.00
3,44,1.070713,35.00
proposed,45,1.697391,35.00
conv,45,1.622886,35.00
ldpc,45,2.125223,35.00
3,45,1.078475,35.00
proposed,46,1.643128,35.00
conv,46,1.214180,35.00
ldpc,46,1.196176,35.00
3,46,1.048160,35.00
proposed,47,1.276500,35.00
conv,47,1.051942,35.00
ldpc,47,1.040234,35.00
3,47,1.036455,35.00
proposed,48,1.559081,35.00
conv,48,1.312095,35.00
ldpc,48,2.045702,35.00
3,48,1.067853,35.00
proposed,49,1.557724,35.00
conv,49,1.321033,35.00
ldpc,49,1.991408,35.00
3,49,1.068818,35.00
proposed,50,1.665989,35.00
conv,50,1.730139,35.00
ldpc,50,1.975191,35.00
3,50,1.071812,35.00
proposed,51,1.616345,35.00
conv,51,1.429849,35.00
ldpc,51,1.996333,35.00
3,51,1.090962,35.00
proposed,52,1.556001,35.00
conv,52,1.446781,35.00
ldpc,52,2.066508,35.00
3,52,1.078799,35.00
proposed,53,1.305849,35.00
conv,53,1.179115,35.00
ldpc,53,1.389139,35.00
3,53,1.071791,35.00
proposed,54,1.196578,35.00
conv,54,1.157630,35.00
ldpc,54,1.277640,35.00
3,54,1.052045,35.00
proposed,55,1.387635,35.00
conv,55,1.312472,35.00
ldpc,55,1.388277,35.00
3,55,1.077043,35.00
proposed,56,1.725233,35.00
conv,56,1.609771,35.00
ldpc,56,2.132768,35.00
3,56,1.089677,35.00
proposed,57,1.242246,35.00
conv,57,1.087611,35.00
ldpc,57,1.114073,35.00
3,57,1.052357,35.00
proposed,58,1.596906,35.00
conv,58,1.223929,35.00
ldpc,58,1.212113,35.00
3,58,1.053339,35.00
proposed,59,1.620637,35.00
conv,59,1.463121,35.00
ldpc,59,2.081545,35.00
3,59,1.071567,35.00
proposed,60,1.675611,35.00
conv,60,1.716046,35.00
ldpc,60,2.102370,35.00
3,60,1.072025,35.00
proposed,61,1.717555,35.00
conv,61,1.658837,35.00
ldpc,61,2.022390,35.00
3,61,1.085783,35.00
proposed,62,1.723133,35.00
conv,62,1.564415,35.00
ldpc,62,2.085819,35.00
3,62,1.083752,35.00
proposed,63,1.540274,35.00
conv,63,1.359608,35.00
ldpc,63,2.003752,35.00
3,63,1.063117,35.00
proposed,64,1.626216,35.00
conv,64,1.636903,35.00
ldpc,64,2.075683,35.00
3,64,1.075257,35.00
proposed,65,1.122063,35.00
conv,65,1.085752,35.00
ldpc,65,1.144446,35.00
3,65,1.039085,35.00
proposed,66,1.201830,35.00
conv,66,1.158493,35.00
ldpc,66,1.334206,35.00
3,66,1.053027,35.00
proposed,67,1.098407,35.00
conv,67,1.075545,35.00
ldpc,67,1.100518,35.00
3,67,1.048814,35.00
proposed,68,1.202883,35.00
conv,68,1.265401,35.00
ldpc,68,1.488104,35.00
3,68,1.059641,35.00
proposed,69,1.143004,35.00
conv,69,1.118817,35.00
ldpc,69,1.168638,35.00
3,69,1.059916,35.00
proposed,70,1.201957,35.00
conv,70,1.165731,35.00
ldpc,70,1.480574,35.00
3,70,1.048906,35.00
proposed,71,1.205023,35.00
conv,71,1.138957,35.00
ldpc,71,1.577835,35.00
3,71,1.056359,35.00
proposed,72,1.241584,35.00
conv,72,1.158766,35.00
ldpc,72,1.358318,35.00
3,72,1.052333,35.00
proposed,73,1.182707,35.00
conv,73,1.219161,35.00
ldpc,73,1.364118,35.00
3,73,1.050656,35.00
proposed,74,1.168190,35.00
conv,74,1.225238,35.00
ldpc,74,1.346186,35.00
3,74,1.052034,35.00
proposed,75,1.186341,35.00
conv,75,1.224312,35.00
ldpc,75,1.478563,35.00
3,75,1.044301,35.00
proposed,76,1.198163,35.00
conv,76,1.219091,35.00
ldpc,76,1.425671,35.00
3,76,1.052376,35.00
proposed,77,1.282829,35.00
conv,77,1.209712,35.00
ldpc,77,1.561930,35.00
3,77,1.054507,35.00
proposed,78,1.214974,35.00
conv,78,1.202284,35.00
ldpc,78,1.232242,35.00
3,78,1.062398,35.00
proposed,79,1.166869,35.00
conv,79,1.141489,35.00
ldpc,79,1.171131,35.00
3,79,1.066520,35.00
proposed,80,1.137951,35.00
conv,80,1.084605,35.00
ldpc,80,1.112584,35.00
3,80,1.049171,35.00
proposed,81,1.385610,35.00
conv,81,1.196828,35.00
ldpc,81,1.405192,35.00
3,81,1.056800,35.00
proposed,82,1.479631,35.00
conv,82,1.393340,35.00
ldpc,82,1.928014,35.00
3,82,1.073405,35.00
