method,audio_id,si_sdr_db,tx_gain_db
conv,97,-38.702799,26.00
conv,98,-57.710037,26.00
conv,99,-43.577422,26.00
proposed,0,-51.886754,26.00
proposed,1,-48.332820,26.00
proposed,2,0.000000,26.00
proposed,3,-39.122039,26.00
proposed,4,0.000000,26.00
proposed,5,-50.157271,26.00
proposed,6,-29.034100,26.00
proposed,7,-23.848711,26.00
proposed,8,-27.198000,26.00
proposed,9,-37.392161,26.00
proposed,10,-44.331616,26.00
proposed,11,0.000000,26.00
proposed,12,-45.117158,26.00
proposed,13,-58.405519,26.00
proposed,14,0.000000,26.00
proposed,15,-32.520741,26.00
proposed,16,0.000000,26.00
proposed,17,0.000000,26.00
proposed,18,-53.201893,26.00
proposed,19,-49.050313,26.00
proposed,20,0.000000,26.00
proposed,21,-32.811842,26.00
proposed,22,-44.935665,26.00
proposed,23,-50.046203,26.00
proposed,24,-50.375206,26.00
proposed,25,-32.170661,26.00
proposed,26,-54.519589,26.00
proposed,27,0.000000,26.00
proposed,28,-39.968508,26.00
proposed,29,0.000000,26.00
proposed,30,-30.299038,26.00
proposed,31,-75.811772,26.00
proposed,32,-47.955784,26.00
proposed,33,-49.870216,26.00
proposed,34,0.000000,26.00
proposed,35,0.000000,26.00
proposed,36,-43.595189,26.00
proposed,37,0.000000,26.00
proposed,38,-53.478456,26.00
proposed,39,-53.833207,26.00
proposed,40,0.000000,26.00
proposed,41,0.000000,26.00
proposed,42,0.000000,26.00
proposed,43,0.000000,26.00
proposed,44,0.000000,26.00
proposed,45,0.000000,26.00
proposed,46,-77.081539,26.00
proposed,47,-10.255879,26.00
proposed,48,-57.877626,26.00
proposed,49,-32.555679,26.00
proposed,50,-36.692112,26.00
proposed,51,-58.706150,26.00
proposed,52,-40.835268,26.00
proposed,53,-58.540613,26.00
proposed,54,-32.932482,26.00
proposed,55,-31.598085,26.00
proposed,56,-60.169251,26.00
proposed,57,-42.263443,26.00
proposed,58,-54.772258,26.00
proposed,59,0.000000,26.00
proposed,60,-33.118928,26.00
proposed,61,0.000000,26.00
proposed,62,-35.665378,26.00
proposed,63,-51.670615,26.00
proposed,64,-72.699867,26.00
proposed,65,-39.876154,26.00
proposed,66,-71.074836,26.00
proposed,67,-66.603374,26.00
proposed,68,-45.678314,26.00
proposed,69,-46.460901,26.00
proposed,70,-40.411207,26.00
proposed,71,-36.552785,26.00
proposed,72,-35.094610,26.00
proposed,73,0.000000,26.00
proposed,74,0.000000,26.00
proposed,75,0.000000,26.00
proposed,76,0.000000,26.00
proposed,77,0.000000,26.00
proposed,78,0.000000,26.00
proposed,79,0.000000,26.00
proposed,80,0.000000,26.00
proposed,81,0.000000,26.00
proposed,82,0.000000,26.00
proposed,83,0.000000,26.00
proposed,84,0.000000,26.00
proposed,85,0.000000,26.00
proposed,86,0.000000,26.00
proposed,87,0.000000,26.00
proposed,88,0.000000,26.00
proposed,89,0.000000,26.00
proposed,90,0.000000,26.00
proposed,91,0.000000,26.00
proposed,92,-45.977223,26.00
proposed,93,-29.370580,26.00
proposed,94,-37.228986,26.00
proposed,95,-39.843171,26.00
proposed,96,-33.507543,26.00
proposed,97,-32.559405,26.00
proposed,98,-28.657736,26.00
proposed,99,-30.652799,26.00
3,0,-42.008154,28.00
3,1,-39.052816,28.00
3,2,-38.239314,28.00
3,3,-29.792800,28.00
3,4,-31.171260,28.00
3,5,-37.956563,28.00
3,6,-39.428772,28.00
3,7,-35.592608,28.00
3,8,-32.540411,28.00
3,9,-32.892133,28.00
3,10,-29.653335,28.00
3,11,-30.747054,28.00
3,12,-29.478168,28.00
3,13,-30.899212,28.00
3,14,-30.441100,28.00
3,15,-32.823225,28.00
3,16,-32.220093,28.00
3,17,-35.407933,28.00
3,18,-35.088249,28.00
3,19,-30.827148,28.00
3,20,-34.141507,28.00
3,21,-30.477579,28.00
3,22,-34.211511,28.00
3,23,-26.670281,28.00
3,24,-31.098634,28.00
3,25,-35.542365,28.00
3,26,-31.015140,28.00
3,27,-33.123096,28.00
3,28,-32.803320,28.00
3,29,-51.357567,28.00
3,30,-32.293698,28.00
3,31,-33.669260,28.00
3,32,-28.785986,28.00
3,33,-28.508798,28.00
3,34,-28.311371,28.00
3,35,-25.824978,28.00
3,36,-33.964865,28.00
3,37,-26.896985,28.00
3,38,-30.653865,28.00
3,39,-30.228195,28.00
3,40,-30.067764,28.00
3,41,-29.923441,28.00
3,42,-30.864284,28.00
3,43,-36.807947,28.00
3,44,-31.265791,28.00
3,45,-27.236968,28.00
3,46,-30.482533,28.00
3,47,-35.102324,28.00
3,48,-36.715394,28.00
3,49,-45.442082,28.00
3,50,-30.244727,28.00
3,51,-32.591151,28.00
3,52,-29.237730,28.00
3,53,-29.909274,28.00
3,54,-32.549459,28.00
3,55,-28.730071,28.00
3,56,-27.681888,28.00
3,57,-32.141579,28.00
3,58,-33.442154,28.00
3,59,-29.889772,28.00
3,60,-30.912525,28.00
3,61,-29.009881,28.00
3,62,-30.660440,28.00
3,63,-28.947730,28.00
3,64,-32.449056,28.00
3,65,-43.550722,28.00
3,66,-48.247642,28.00
3,67,-39.312637,28.00
3,68,-35.036692,28.00
3,69,-39.108652,28.00
3,70,-40.614078,28.00
3,71,-37.643458,28.00
3,72,-34.806517,28.00
3,73,-35.219795,28.00
3,74,-30.315830,28.00
3,75,-35.050794,28.00
3,76,-41.710260,28.00
3,77,-40.460873,28.00
3,78,-59.669110,28.00
3,79,0.000000,28.00
3,80,-50.378116,28.00
3,81,0.000000,28.00
3,82,0.000000,28.00
3,83,0.000000,28.00
3,84,0.000000,28.00
3,85,0.000000,28.00
3,86,-44.825242,28.00
3,87,-57.753255,28.00
3,88,-35.554947,28.00
3,89,-28.768993,28.00
3,90,-31.316925,28.00
3,91,-34.093618,28.00
3,92,-33.613071,28.00
3,93,-35.939038,28.00
3,94,-36.679693,28.00
3,95,-31.243546,28.00
3,96,-32.087307,28.00
3,97,-40.777023,28.00
3,98,-32.823587,28.00
3,99,-41.404484,28.00
conv,0,-52.521029,28.00
conv,1,-41.529777,28.00
conv,2,-54.321575,28.00
conv,3,-39.927008,28.00
conv,4,-41.359401,28.00
conv,5,-38.650325,28.00
conv,6,-42.848845,28.00
conv,7,-43.250031,28.00
conv,8,-37.901936,28.00
conv,9,-44.200102,28.00
conv,10,-77.071673,28.00
conv,11,-43.420366,28.00
conv,12,-52.602073,28.00
conv,13,-42.100254,28.00
conv,14,-37.730497,28.00
conv,15,-42.123960,28.00
conv,16,-40.382984,28.00
conv,17,-39.384400,28.00
conv,18,-38.588109,28.00
conv,19,-67.283511,28.00
conv,20,-40.789679,28.00
conv,21,-43.709774,28.00
conv,22,-41.653883,28.00
conv,23,-39.176643,28.00
conv,24,-52.769449,28.00
conv,25,-36.432838,28.00
conv,26,-38.233307,28.00
conv,27,-55.324871,28.00
conv,28,-38.637702,28.00
conv,29,-46.465100,28.00
conv,30,-48.851441,28.00
conv,31,-49.746591,28.00
conv,32,-40.522046,28.00
conv,33,-41.255333,28.00
conv,34,-48.764497,28.00
conv,35,-35.977460,28.00
conv,36,-41.384225,28.00
conv,37,-39.803387,28.00
conv,38,-40.963200,28.00
conv,39,-43.394477,28.00
conv,40,-36.694028,28.00
conv,41,-37.402442,28.00
conv,42,-43.023040,28.00
conv,43,-59.544642,28.00
conv,44,-45.452830,28.00
conv,45,-43.006479,28.00
conv,46,-47.420122,28.00
conv,47,-42.132864,28.00
conv,48,-40.603165,28.00
conv,49,-64.565206,28.00
conv,50,-38.126702,28.00
conv,51,-41.837481,28.00
conv,52,-36.958884,28.00
conv,53,-37.217953,28.00
conv,54,-35.625901,28.00
conv,55,-31.133897,28.00
conv,56,-39.884362,28.00
conv,57,-36.967237,28.00
conv,58,-50.554810,28.00
conv,59,-37.694192,28.00
conv,60,-44.960430,28.00
conv,61,-40.154183,28.00
conv,62,-43.436651,28.00
conv,63,-59.751273,28.00
conv,64,-42.696720,28.00
conv,65,-45.134949,28.00
conv,66,-43.714602,28.00
conv,67,-37.739565,28.00
conv,68,-49.633568,28.00
conv,69,-36.888199,28.00
conv,70,-38.277220,28.00
conv,71,-37.877203,28.00
conv,72,-46.994305,28.00
conv,73,-61.106665,28.00
conv,74,-55.222913,28.00
conv,75,-58.585063,28.00
conv,76,-43.393812,28.00
conv,77,-40.051334,28.00
conv,78,-51.239430,28.00
conv,79,0.000000,28.00
conv,80,-42.531896,28.00
conv,81,0.000000,28.00
conv,82,0.000000,28.00
conv,83,0.000000,28.00
conv,84,0.000000,28.00
conv,85,0.000000,28.00
conv,86,-42.248258,28.00
conv,87,-42.360529,28.00
conv,88,-45.546027,28.00
conv,89,-47.747682,28.00
conv,90,-45.050420,28.00
conv,91,-33.844196,28.00
conv,92,-54.640099,28.00
conv,93,-39.616099,28.00
conv,94,-41.687849,28.00
conv,95,-56.669625,28.00
conv,96,-42.399352,28.00
conv,97,-75.907159,28.00
conv,98,-41.767122,28.00
conv,99,-42.797734,28.00
proposed,0,-47.254725,28.00
proposed,1,-26.939797,28.00
proposed,2,-31.175590,28.00
proposed,3,-17.718363,28.00
proposed,4,-19.641896,28.00
proposed,5,-20.343610,28.00
proposed,6,-23.421818,28.00
proposed,7,-20.494171,28.00
proposed,8,-15.657713,28.00
proposed,9,-17.949090,28.00
proposed,10,-15.040356,28.00
proposed,11,-24.919793,28.00
proposed,12,-18.478830,28.00
proposed,13,-14.422928,28.00
proposed,14,-18.108456,28.00
proposed,15,-19.212428,28.00
proposed,16,-20.557045,28.00
proposed,17,-23.688203,28.00
proposed,18,-21.813412,28.00
proposed,19,-17.950919,28.00
proposed,20,-17.252745,28.00
proposed,21,-21.904053,28.00
proposed,22,-23.282010,28.00
proposed,23,-19.730442,28.00
proposed,24,-21.100194,28.00
proposed,25,-20.878700,28.00
proposed,26,-23.082434,28.00
proposed,27,-20.621495,28.00
proposed,28,-19.235823,28.00
proposed,29,-29.468428,28.00
proposed,30,-22.468212,28.00
proposed,31,-14.724885,28.00
proposed,32,-17.118826,28.00
proposed,33,-20.804716,28.00
proposed,34,-22.198152,28.00
proposed,35,-15.385706,28.00
proposed,36,-24.059902,28.00
proposed,37,-16.528625,28.00
proposed,38,-17.171537,28.00
proposed,39,-20.028167,28.00
proposed,40,-20.798663,28.00
proposed,41,-18.198931,28.00
proposed,42,-20.326849,28.00
proposed,43,-19.795804,28.00
proposed,44,-19.840445,28.00
proposed,45,-18.172717,28.00
proposed,46,-22.053995,28.00
proposed,47,-19.151210,28.00
proposed,48,-25.198115,28.00
proposed,49,-53.993038,28.00
proposed,50,-16.721478,28.00
