method,audio_id,pesq,tx_gain_db
proposed,66,1.044545,28.00
conv,66,1.025264,28.00
3,66,1.029819,28.00
proposed,67,1.048805,28.00
conv,67,1.034834,28.00
3,67,1.050527,28.00
proposed,68,1.040235,28.00
conv,68,1.028580,28.00
3,68,1.742704,28.00
proposed,69,1.048285,28.00
conv,69,1.035228,28.00
3,69,1.027409,28.00
proposed,70,1.042848,28.00
conv,70,1.039478,28.00
3,70,1.045477,28.00
proposed,71,1.055546,28.00
conv,71,1.077575,28.00
3,71,1.033092,28.00
proposed,72,1.049034,28.00
conv,72,1.126512,28.00
3,72,1.194867,28.00
proposed,73,1.040259,28.00
conv,73,1.037885,28.00
3,73,1.040568,28.00
proposed,74,1.030390,28.00
conv,74,1.042406,28.00
3,74,1.024798,28.00
proposed,75,1.031348,28.00
conv,75,1.023255,28.00
3,75,1.021964,28.00
proposed,76,1.052265,28.00
conv,76,1.066176,28.00
3,76,1.056116,28.00
proposed,77,1.065743,28.00
conv,77,1.087901,28.00
3,77,1.146603,28.00
proposed,78,1.047006,28.00
conv,78,1.057963,28.00
3,78,1.053652,28.00
proposed,80,1.036762,28.00
conv,80,1.039745,28.00
3,80,1.038757,28.00
proposed,86,1.040300,28.00
conv,86,1.042553,28.00
3,86,1.044945,28.00
proposed,87,1.042468,28.00
conv,87,1.039945,28.00
3,87,1.057162,28.00
proposed,88,1.028051,28.00
conv,88,1.030994,28.00
3,88,1.038694,28.00
proposed,89,1.029490,28.00
conv,89,1.032168,28.00
3,89,1.046043,28.00
proposed,90,1.035955,28.00
conv,90,1.039788,28.00
3,90,1.059572,28.00
proposed,91,1.028474,28.00
conv,91,1.032407,28.00
3,91,1.030444,28.00
proposed,92,1.028881,28.00
conv,92,1.024830,28.00
3,92,1.038672,28.00
proposed,93,1.032688,28.00
conv,93,1.096258,28.00
3,93,1.060209,28.00
proposed,94,1.035253,28.00
conv,94,1.035650,28.00
3,94,1.037958,28.00
proposed,95,1.039974,28.00
conv,95,1.129890,28.00
3,95,1.024534,28.00
proposed,96,1.035086,28.00
conv,96,1.028115,28.00
3,96,1.060307,28.00
proposed,97,1.060367,28.00
conv,97,1.032904,28.00
3,97,1.127129,28.00
proposed,98,1.036455,28.00
conv,98,1.032671,28.00
3,98,1.069409,28.00
proposed,99,1.034204,28.00
conv,99,1.039252,28.00
3,99,1.024800,28.00
proposed,0,1.075925,30.00
conv,0,1.026389,30.00
3,0,1.051303,30.00
proposed,1,1.077601,30.00
conv,1,1.025212,30.00
3,1,1.048948,30.00
proposed,2,1.181300,30.00
conv,2,1.034950,30.00
3,2,1.047638,30.00
proposed,3,1.127750,30.00
conv,3,1.030575,30.00
3,3,1.044965,30.00
proposed,4,1.120045,30.00
conv,4,1.031034,30.00
3,4,1.028912,30.00
proposed,5,1.188602,30.00
conv,5,1.034205,30.00
3,5,1.030376,30.00
proposed,6,1.157472,30.00
conv,6,1.043114,30.00
3,6,1.035163,30.00
proposed,7,1.112555,30.00
conv,7,1.035033,30.00
3,7,1.036740,30.00
proposed,8,1.164723,30.00
conv,8,1.037696,30.00
3,8,1.034366,30.00
proposed,9,1.123007,30.00
conv,9,1.060500,30.00
3,9,1.034047,30.00
proposed,10,1.123237,30.00
conv,10,1.039216,30.00
3,10,1.036024,30.00
proposed,11,1.176603,30.00
conv,11,1.029601,30.00
3,11,1.032895,30.00
proposed,12,1.136917,30.00
conv,12,1.086084,30.00
3,12,1.027102,30.00
proposed,13,1.117943,30.00
conv,13,1.049880,30.00
3,13,1.796476,30.00
proposed,14,1.103714,30.00
conv,14,1.025137,30.00
3,14,1.027192,30.00
proposed,15,1.107222,30.00
conv,15,1.025989,30.00
3,15,1.034587,30.00
proposed,16,1.146303,30.00
conv,16,1.045397,30.00
3,16,1.030368,30.00
proposed,17,1.120804,30.00
conv,17,1.057698,30.00
3,17,1.030776,30.00
proposed,18,1.137102,30.00
conv,18,1.033760,30.00
3,18,1.045307,30.00
proposed,19,1.192299,30.00
conv,19,1.028499,30.00
3,19,1.032273,30.00
proposed,20,1.127833,30.00
conv,20,1.089467,30.00
3,20,1.030318,30.00
proposed,21,1.135391,30.00
conv,21,1.031363,30.00
3,21,1.033066,30.00
proposed,22,1.160850,30.00
conv,22,1.031499,30.00
3,22,1.038992,30.00
proposed,23,1.134061,30.00
conv,23,1.035327,30.00
3,23,1.027785,30.00
proposed,24,1.096927,30.00
conv,24,1.027469,30.00
3,24,1.029292,30.00
proposed,25,1.111923,30.00
conv,25,1.092775,30.00
3,25,1.034945,30.00
proposed,26,1.086794,30.00
conv,26,1.040781,30.00
3,26,1.038123,30.00
proposed,27,1.101099,30.00
conv,27,1.033146,30.00
3,27,1.029898,30.00
proposed,28,1.135859,30.00
conv,28,1.066010,30.00
3,28,1.033435,30.00
proposed,29,1.120414,30.00
conv,29,1.053423,30.00
3,29,1.034174,30.00
proposed,30,1.140457,30.00
conv,30,1.062891,30.00
3,30,1.046902,30.00
proposed,31,1.119650,30.00
conv,31,1.042632,30.00
3,31,1.028468,30.00
proposed,32,1.127108,30.00
conv,32,1.029651,30.00
3,32,1.027266,30.00
proposed,33,1.107244,30.00
conv,33,1.053528,30.00
3,33,1.038297,30.00
proposed,34,1.146015,30.00
conv,34,1.030800,30.00
3,34,1.033684,30.00
proposed,35,1.135756,30.00
conv,35,1.037587,30.00
3,35,1.029586,30.00
proposed,36,1.159164,30.00
conv,36,1.091903,30.00
3,36,1.048762,30.00
proposed,37,1.116811,30.00
conv,37,1.031512,30.00
3,37,1.035712,30.00
proposed,38,1.169981,30.00
conv,38,1.076637,30.00
3,38,1.042335,30.00
proposed,39,1.146640,30.00
conv,39,1.048787,30.00
3,39,1.028014,30.00
proposed,40,1.089659,30.00
conv,40,1.039724,30.00
3,40,1.036165,30.00
proposed,41,1.159671,30.00
conv,41,1.088967,30.00
3,41,1.058122,30.00
proposed,42,1.193220,30.00
conv,42,1.039713,30.00
3,42,1.040371,30.00
proposed,43,1.122799,30.00
conv,43,1.035335,30.00
3,43,1.032821,30.00
proposed,44,1.107154,30.00
conv,44,1.043687,30.00
3,44,1.057021,30.00
proposed,45,1.138387,30.00
conv,45,1.040231,30.00
3,45,1.033046,30.00
proposed,46,1.122101,30.00
conv,46,1.058264,30.00
3,46,1.029460,30.00
proposed,47,1.106296,30.00
conv,47,1.033407,30.00
3,47,1.024505,30.00
proposed,48,1.143864,30.00
conv,48,1.036717,30.00
3,48,1.066754,30.00
proposed,49,1.111825,30.00
conv,49,1.039855,30.00
3,49,1.035135,30.00
proposed,50,1.114524,30.00
conv,50,1.034202,30.00
3,50,1.034986,30.00
proposed,51,1.119716,30.00
conv,51,1.031099,30.00
3,51,1.037273,30.00
proposed,52,1.126310,30.00
conv,52,1.028777,30.00
3,52,1.034877,30.00
proposed,53,1.151723,30.00
conv,53,1.040040,30.00
3,53,1.040949,30.00
proposed,54,1.131053,30.00
conv,54,1.052548,30.00
3,54,1.039593,30.00
proposed,55,1.108160,30.00
conv,55,1.054659,30.00
3,55,1.044648,30.00
proposed,56,1.128312,30.00
conv,56,1.045322,30.00
3,56,1.050749,30.00
proposed,57,1.121219,30.00
conv,57,1.080586,30.00
3,57,1.048416,30.00
proposed,58,1.140418,30.00
conv,58,1.038183,30.00
3,58,1.046396,30.00
proposed,59,1.130582,30.00
conv,59,1.064705,30.00
3,59,1.038135,30.00
proposed,60,1.159570,30.00
conv,60,1.104688,30.00
3,60,1.044160,30.00
proposed,61,1.120095,30.00
conv,61,1.057803,30.00
3,61,1.046144,30.00
proposed,62,1.177515,30.00
conv,62,1.054286,30.00
3,62,1.043450,30.00
proposed,63,1.111075,30.00
conv,63,1.028375,30.00
3,63,1.042073,30.00
proposed,64,1.136365,30.00
conv,64,1.048564,30.00
3,64,1.033756,30.00
proposed,65,1.051017,30.00
conv,65,1.046208,30.00
3,65,1.031552,30.00
proposed,66,1.051279,30.00
conv,66,1.070632,30.00
3,66,1.028337,30.00
proposed,67,1.082154,30.00
conv,67,1.035167,30.00
3,67,1.032949,30.00
proposed,68,1.062659,30.00
conv,68,1.087031,30.00
3,68,1.042268,30.00
proposed,69,1.065975,30.00
conv,69,1.044104,30.00
3,69,1.032461,30.00
proposed,70,1.055007,30.00
conv,70,1.053503,30.00
3,70,1.031814,30.00
proposed,71,1.078855,30.00
conv,71,1.034052,30.00
3,71,1.038360,30.00
proposed,72,1.093315,30.00
conv,72,1.075318,30.00
3,72,1.033179,30.00
proposed,73,1.042841,30.00
conv,73,1.060446,30.00
3,73,1.030460,30.00
proposed,74,1.049989,30.00
conv,74,1.039593,30.00
3,74,1.022794,30.00
proposed,75,1.053588,30.00
conv,75,1.021151,30.00
3,75,1.033254,30.00
proposed,76,1.065406,30.00
conv,76,1.026872,30.00
3,76,1.031277,30.00
proposed,77,1.077111,30.00
conv,77,1.072260,30.00
3,77,1.032170,30.00
proposed,78,1.065516,30.00
conv,78,1.028150,30.00
3,78,1.033771,30.00
proposed,79,1.072586,30.00
conv,79,1.095122,30.00
3,79,1.034102,30.00
proposed,80,1.047603,30.00
conv,80,1.041447,30.00
3,80,1.028515,30.00
proposed,81,1.063054,30.00
conv,81,1.026512,30.00
3,81,1.027553,30.00
proposed,82,1.071678,30.00
conv,82,1.031895,30.00
3,82,1.030343,30.00
proposed,83,1.055332,30.00
conv,83,1.022385,30.00
3,83,1.034746,30.00
proposed,84,1.080892,30.00
conv,84,1.052166,30.00
3,84,1.041719,30.00
proposed,85,1.051179,30.00
conv,85,1.022907,30.00
3,85,1.029201,30.00
proposed,86,1.066342,30.00
conv,86,1.025830,30.00
3,86,1.028405,30.00
proposed,87,1.060830,30.00
conv,87,1.051546,30.00
3,87,1.029568,30.00
proposed,88,1.040051,30.00
conv,88,1.033107,30.00
3,88,1.038074,30.00
proposed,89,1.053041,30.00
conv,89,1.040679,30.00
3,89,1.029760,30.00
proposed,90,1.069230,30.00
conv,90,1.036308,30.00
3,90,1.030865,30.00
proposed,91,1.057334,30.00
conv,91,1.036092,30.00
3,91,1.026486,30.00
proposed,92,1.083156,30.00
conv,92,1.033584,30.00
3,92,1.031052,30.00
proposed,93,1.118926,30.00
conv,93,1.034864,30.00
3,93,1.028875,30.00
proposed,94,1.073137,30.00
conv,94,1.046521,30.00
3,94,1.031114,30.00
proposed,95,1.085974,30.00
conv,95,1.032292,30.00
3,95,1.033692,30.00
proposed,96,1.080470,30.00
conv,96,1.033461,30.00
3,96,1.029614,30.00
proposed,97,1.077717,30.00
conv,97,1.034080,30.00
3,97,1.032025,30.00
proposed,98,1.078542,30.00
conv,98,1.058921,30.00
3,98,1.035715,30.00
proposed,99,1.062566,30.00
conv,99,1.046379,30.00
3,99,1.027822,30.00
proposed,0,1.230338,32.00
conv,0,1.039445,32.00
3,0,1.037984,32.00
proposed,1,1.360467,32.00
conv,1,1.065063,32.00
3,1,1.043969,32.00
proposed,2,1.462827,32.00
conv,2,1.071043,32.00
3,2,1.038253,32.00
proposed,3,1.344802,32.00
conv,3,1.053885,32.00
3,3,1.044649,32.00
proposed,4,1.337618,32.00
conv,4,1.080207,32.00
3,4,1.046323,32.00
proposed,5,1.455323,32.00
conv,5,1.063398,32.00
3,5,1.045609,32.00
proposed,6,1.387527,32.00
conv,6,1.066337,32.00
3,6,1.047196,32.00
proposed,7,1.379238,32.00
conv,7,1.065627,32.00
3,7,1.037386,32.00
proposed,8,1.409870,32.00
conv,8,1.057343,32.00
3,8,1.043336,32.00
proposed,9,1.404112,32.00
conv,9,1.064618,32.00
3,9,1.044346,32.00
proposed,10,1.380582,32.00
conv,10,1.066220,32.00
3,10,1.038319,32.00
proposed,11,1.400939,32.00
conv,11,1.068067,32.00
3,11,1.045968,32.00
proposed,12,1.301697,32.00
conv,12,1.055240,32.00
3,12,1.036884,32.00
proposed,13,1.360179,32.00
conv,13,1.054123,32.00
3,13,1.043974,32.00
proposed,14,1.353660,32.00
conv,14,1.057423,32.00
3,14,1.036868,32.00
proposed,15,1.366603,32.00
conv,15,1.062909,32.00
3,15,1.044090,32.00
proposed,16,1.382898,32.00
conv,16,1.061816,32.00
3,16,1.045773,32.00
proposed,17,1.264906,32.00
conv,17,1.063340,32.00
3,17,1.043470,32.00
proposed,18,1.411095,32.00
conv,18,1.061880,32.00
3,18,1.040819,32.00
proposed,19,1.351494,32.00
conv,19,1.068522,32.00
3,19,1.042974,32.00
proposed,20,1.288700,32.00
conv,20,1.050682,32.00
3,20,1.037983,32.00
proposed,21,1.388886,32.00
conv,21,1.060286,32.00
3,21,1.037368,32.00
proposed,22,1.423291,32.00
conv,22,1.059230,32.00
3,22,1.044032,32.00
proposed,23,1.329180,32.00
conv,23,1.051281,32.00
3,23,1.036176,32.00
proposed,24,1.378959,32.00
conv,24,1.050288,32.00
3,24,1.039375,32.00
proposed,25,1.351938,32.00
conv,25,1.062738,32.00
3,25,1.039030,32.00
proposed,26,1.298126,32.00
conv,26,1.056450,32.00
3,26,1.041565,32.00
proposed,27,1.389940,32.00
conv,27,1.060915,32.00
3,27,1.040488,32.00
proposed,28,1.427683,32.00
conv,28,1.080739,32.00
3,28,1.038822,32.00
proposed,29,1.386283,32.00
conv,29,1.061646,32.00
3,29,1.044043,32.00
proposed,30,1.488471,32.00
conv,30,1.079785,32.00
3,30,1.045954,32.00
proposed,31,1.394650,32.00
conv,31,1.073179,32.00
3,31,1.044044,32.00
proposed,32,1.391099,32.00
conv,32,1.058002,32.00
3,32,1.044786,32.00
proposed,33,1.418079,32.00
conv,33,1.062435,32.00
3,33,1.047508,32.00
proposed,34,1.430965,32.00
conv,34,1.055531,32.00
3,34,1.043886,32.00
proposed,35,1.342836,32.00
conv,35,1.057903,32.00
3,35,1.037892,32.00
proposed,36,1.410656,32.00
conv,36,1.070624,32.00
3,36,1.044369,32.00
proposed,37,1.348751,32.00
conv,37,1.075161,32.00
3,37,1.040924,32.00
proposed,38,1.406598,32.00
conv,38,1.068098,32.00
3,38,1.044225,32.00
proposed,39,1.366960,32.00
conv,39,1.068171,32.00
3,39,1.040120,32.00
proposed,40,1.292452,32.00
conv,40,1.067001,32.00
3,40,1.042009,32.00
proposed,41,1.421107,32.00
conv,41,1.066673,32.00
3,41,1.043814,32.00
proposed,42,1.456632,32.00
conv,42,1.073439,32.00
3,42,1.049953,32.00
proposed,43,1.410782,32.00
conv,43,1.059287,32.00
3,43,1.039471,32.00
proposed,44,1.291425,32.00
conv,44,1.045688,32.00
3,44,1.034665,32.00
proposed,45,1.253262,32.00
conv,45,1.049355,32.00
3,45,1.037060,32.00
proposed,46,1.426726,32.00
conv,46,1.056604,32.00
3,46,1.035489,32.00
proposed,47,1.309009,32.00
conv,47,1.059687,32.00
3,47,1.038435,32.00
proposed,48,1.348307,32.00
conv,48,1.056356,32.00
3,48,1.038676,32.00
proposed,49,1.302440,32.00
conv,49,1.059554,32.00
3,49,1.042004,32.00
proposed,50,1.279175,32.00
conv,50,1.051397,32.00
3,50,1.037126,32.00
proposed,51,1.399200,32.00
conv,51,1.069533,32.00
3,51,1.059328,32.00
proposed,52,1.346003,32.00
conv,52,1.054844,32.00
3,52,1.039641,32.00
proposed,53,1.300447,32.00
conv,53,1.064905,32.00
3,53,1.040982,32.00
proposed,54,1.246331,32.00
conv,54,1.057527,32.00
3,54,1.041880,32.00
proposed,55,1.308969,32.00
conv,55,1.060163,32.00
3,55,1.058366,32.00
proposed,56,1.347128,32.00
conv,56,1.062580,32.00
3,56,1.047151,32.00
proposed,57,1.270917,32.00
conv,57,1.062982,32.00
3,57,1.046172,32.00
proposed,58,1.405087,32.00
conv,58,1.055866,32.00
3,58,1.043792,32.00
proposed,59,1.334210,32.00
conv,59,1.071945,32.00
3,59,1.045550,32.00
proposed,60,1.435086,32.00
conv,60,1.079748,32.00
3,60,1.054739,32.00
proposed,61,1.381796,32.00
conv,61,1.067879,32.00
3,61,1.042891,32.00
proposed,62,1.372751,32.00
conv,62,1.066779,32.00
3,62,1.060070,32.00
proposed,63,1.269991,32.00
conv,63,1.062131,32.00
3,63,1.042902,32.00
proposed,64,1.334168,32.00
conv,64,1.061826,32.00
3,64,1.042400,32.00
proposed,65,1.098811,32.00
conv,65,1.045281,32.00
3,65,1.031706,32.00
proposed,66,1.095557,32.00
conv,66,1.034747,32.00
3,66,1.028770,32.00
proposed,67,1.132485,32.00
conv,67,1.033029,32.00
3,67,1.029051,32.00
proposed,68,1.104396,32.00
conv,68,1.039857,32.00
3,68,1.037023,32.00
proposed,69,1.088579,32.00
conv,69,1.047554,32.00
3,69,1.034360,32.00
proposed,70,1.082282,32.00
conv,70,1.043027,32.00
3,70,1.033098,32.00
proposed,71,1.122793,32.00
conv,71,1.040673,32.00
3,71,1.043769,32.00
proposed,72,1.136775,32.00
conv,72,1.040523,32.00
3,72,1.040347,32.00
proposed,73,1.088048,32.00
conv,73,1.042110,32.00
3,73,1.028208,32.00
proposed,74,1.095174,32.00
conv,74,1.039184,32.00
3,74,1.029956,32.00
proposed,75,1.095963,32.00
conv,75,1.032415,32.00
3,75,1.029593,32.00
proposed,76,1.115939,32.00
conv,76,1.043289,32.00
3,76,1.034030,32.00
proposed,77,1.089838,32.00
conv,77,1.036438,32.00
3,77,1.034450,32.00
proposed,78,1.121285,32.00
conv,78,1.043243,32.00
3,78,1.034453,32.00
proposed,79,1.132423,32.00
conv,79,1.044649,32.00
3,79,1.039690,32.00
proposed,80,1.108588,32.00
conv,80,1.039439,32.00
3,80,1.033693,32.00
proposed,81,1.154655,32.00
conv,81,1.051149,32.00
3,81,1.033731,32.00
proposed,82,1.180288,32.00
conv,82,1.048851,32.00
3,82,1.031766,32.00
proposed,83,1.128381,32.00
conv,83,1.038568,32.00
3,83,1.027533,32.00
proposed,84,1.167318,32.00
conv,84,1.040033,32.00
3,84,1.027736,32.00
proposed,85,1.137390,32.00
conv,85,1.038481,32.00
3,85,1.032632,32.00
proposed,86,1.142601,32.00
conv,86,1.042750,32.00
3,86,1.031934,32.00
proposed,87,1.155916,32.00
conv,87,1.060850,32.00
3,87,1.032833,32.00
proposed,88,1.067004,32.00
conv,88,1.030019,32.00
3,88,1.024470,32.00
proposed,89,1.099952,32.00
conv,89,1.038568,32.00
3,89,1.028824,32.00
proposed,90,1.126188,32.00
conv,90,1.042752,32.00
3,90,1.033813,32.00
proposed,91,1.128339,32.00
conv,91,1.046025,32.00
3,91,1.033149,32.00
proposed,92,1.100338,32.00
conv,92,1.033291,32.00
3,92,1.031448,32.00
proposed,93,1.116879,32.00
conv,93,1.028994,32.00
3,93,1.031283,32.00
proposed,94,1.091637,32.00
conv,94,1.029818,32.00
3,94,1.028557,32.00
proposed,95,1.105047,32.00
conv,95,1.032271,32.00
3,95,1.030325,32.00
proposed,96,1.084466,32.00
conv,96,1.036957,32.00
3,96,1.034535,32.00
proposed,97,1.086320,32.00
conv,97,1.025301,32.00
3,97,1.036774,32.00
proposed,98,1.074024,32.00
conv,98,1.027636,32.00
3,98,1.055470,32.00
proposed,99,1.078804,32.00
conv,99,1.034250,32.00
3,99,1.025971,32.00
proposed,0,1.598434,34.00
conv,0,1.161975,34.00
3,0,1.069786,34.00
proposed,1,1.821146,34.00
conv,1,2.074228,34.00
3,1,1.085909,34.00
proposed,2,1.998729,34.00
conv,2,2.071258,34.00
3,2,1.102023,34.00
proposed,3,1.797606,34.00
conv,3,1.949349,34.00
3,3,1.094941,34.00
proposed,4,1.810642,34.00
conv,4,1.575047,34.00
3,4,1.096922,34.00
proposed,5,1.937704,34.00
conv,5,1.542898,34.00
3,5,1.117787,34.00
proposed,6,1.893081,34.00
conv,6,1.877913,34.00
3,6,1.108248,34.00
proposed,7,1.971278,34.00
conv,7,2.162550,34.00
3,7,1.094464,34.00
proposed,8,1.785892,34.00
conv,8,2.016353,34.00
3,8,1.141967,34.00
proposed,9,1.806308,34.00
conv,9,1.843864,34.00
3,9,1.123785,34.00
proposed,10,1.840112,34.00
conv,10,2.216475,34.00
3,10,1.143620,34.00
proposed,11,1.961552,34.00
conv,11,1.957325,34.00
3,11,1.088801,34.00
proposed,12,1.773535,34.00
conv,12,1.959855,34.00
3,12,1.102503,34.00
proposed,13,1.959846,34.00
conv,13,1.960800,34.00
3,13,1.138385,34.00
proposed,14,1.779795,34.00
conv,14,1.994372,34.00
3,14,1.114554,34.00
proposed,15,1.924322,34.00
conv,15,1.958345,34.00
3,15,1.101092,34.00
proposed,16,1.716191,34.00
conv,16,1.524994,34.00
3,16,1.108168,34.00
proposed,17,1.747057,34.00
conv,17,1.699911,34.00
3,17,1.083379,34.00
proposed,18,1.759512,34.00
conv,18,2.028375,34.00
3,18,1.109976,34.00
proposed,19,1.839033,34.00
conv,19,2.164855,34.00
3,19,1.188121,34.00
proposed,20,1.804907,34.00
conv,20,1.903492,34.00
3,20,1.088329,34.00
proposed,21,1.805290,34.00
conv,21,1.535301,34.00
3,21,1.073924,34.00
proposed,22,1.906046,34.00
conv,22,1.806975,34.00
3,22,1.129568,34.00
proposed,23,1.838151,34.00
conv,23,1.836688,34.00
3,23,1.087465,34.00
proposed,24,1.850485,34.00
conv,24,1.872656,34.00
3,24,1.092668,34.00
proposed,25,1.710770,34.00
conv,25,1.990959,34.00
3,25,1.116709,34.00
proposed,26,1.820533,34.00
conv,26,1.512792,34.00
3,26,1.122313,34.00
proposed,27,1.882074,34.00
conv,27,2.160980,34.00
3,27,1.108474,34.00
proposed,28,1.740574,34.00
conv,28,1.854253,34.00
3,28,1.085828,34.00
proposed,29,1.789610,34.00
conv,29,1.484736,34.00
3,29,1.090967,34.00
proposed,30,2.029055,34.00
conv,30,2.252674,34.00
3,30,1.120985,34.00
proposed,31,1.823769,34.00
conv,31,1.595377,34.00
3,31,1.131983,34.00
proposed,32,1.811730,34.00
conv,32,2.132805,34.00
3,32,1.110123,34.00
proposed,33,1.798367,34.00
conv,33,2.036991,34.00
3,33,1.150771,34.00
proposed,34,1.954594,34.00
conv,34,2.139665,34.00
3,34,1.100822,34.00
proposed,35,1.839228,34.00
conv,35,1.929030,34.00
3,35,1.114581,34.00
proposed,36,1.803811,34.00
conv,36,1.724138,34.00
3,36,1.110740,34.00
proposed,37,1.853867,34.00
conv,37,1.907471,34.00
3,37,1.131972,34.00
proposed,38,1.805430,34.00
