method,audio_id,pesq,tx_gain_db
conv,38,1.636987,34.00
3,38,1.099159,34.00
proposed,39,1.862506,34.00
conv,39,2.000168,34.00
3,39,1.132973,34.00
proposed,40,1.689934,34.00
conv,40,2.044961,34.00
3,40,1.115023,34.00
proposed,41,2.003823,34.00
conv,41,1.898141,34.00
3,41,1.124534,34.00
proposed,42,1.839834,34.00
conv,42,1.999576,34.00
3,42,1.131271,34.00
proposed,43,1.680418,34.00
conv,43,1.846195,34.00
3,43,1.072652,34.00
proposed,44,1.559965,34.00
conv,44,1.337414,34.00
3,44,1.077174,34.00
proposed,45,1.442834,34.00
conv,45,1.076467,34.00
3,45,1.040045,34.00
proposed,46,1.491876,34.00
conv,46,1.131635,34.00
3,46,1.041074,34.00
proposed,47,1.337235,34.00
conv,47,1.057928,34.00
3,47,1.039934,34.00
proposed,48,1.372667,34.00
conv,48,1.087723,34.00
3,48,1.040228,34.00
proposed,49,1.308643,34.00
conv,49,1.056665,34.00
3,49,1.043367,34.00
proposed,50,1.382996,34.00
conv,50,1.066341,34.00
3,50,1.042273,34.00
proposed,51,1.389320,34.00
conv,51,1.088546,34.00
3,51,1.046627,34.00
proposed,52,1.454828,34.00
conv,52,1.067976,34.00
3,52,1.044699,34.00
proposed,53,1.413234,34.00
conv,53,1.063130,34.00
3,53,1.046835,34.00
proposed,54,1.280295,34.00
conv,54,1.058371,34.00
3,54,1.041735,34.00
proposed,55,1.288003,34.00
conv,55,1.082258,34.00
3,55,1.043319,34.00
proposed,56,1.370708,34.00
conv,56,1.068772,34.00
3,56,1.051812,34.00
proposed,57,1.260667,34.00
conv,57,1.048853,34.00
3,57,1.043682,34.00
proposed,58,1.470268,34.00
conv,58,1.091721,34.00
3,58,1.047193,34.00
proposed,59,1.411807,34.00
conv,59,1.103958,34.00
3,59,1.053086,34.00
proposed,60,1.380799,34.00
conv,60,1.077037,34.00
3,60,1.051091,34.00
proposed,61,1.390720,34.00
conv,61,1.072718,34.00
3,61,1.048602,34.00
proposed,62,1.366231,34.00
conv,62,1.091339,34.00
3,62,1.055371,34.00
proposed,63,1.299564,34.00
conv,63,1.077183,34.00
3,63,1.043636,34.00
proposed,64,1.716020,34.00
conv,64,1.872552,34.00
3,64,1.092935,34.00
proposed,65,1.199299,34.00
conv,65,1.300769,34.00
3,65,1.081259,34.00
proposed,66,1.235484,34.00
conv,66,1.514540,34.00
3,66,1.069933,34.00
proposed,67,1.394214,34.00
conv,67,1.542908,34.00
3,67,1.094317,34.00
proposed,68,1.221895,34.00
conv,68,1.300584,34.00
3,68,1.092445,34.00
proposed,69,1.257213,34.00
conv,69,1.466915,34.00
3,69,1.071129,34.00
proposed,70,1.249489,34.00
conv,70,1.287876,34.00
3,70,1.066801,34.00
proposed,71,1.267282,34.00
conv,71,1.405488,34.00
3,71,1.083664,34.00
proposed,72,1.271104,34.00
conv,72,1.417226,34.00
3,72,1.066182,34.00
proposed,73,1.239877,34.00
conv,73,1.308558,34.00
3,73,1.067993,34.00
proposed,74,1.207552,34.00
conv,74,1.319919,34.00
3,74,1.090375,34.00
proposed,75,1.225353,34.00
conv,75,1.438507,34.00
3,75,1.071062,34.00
proposed,76,1.230478,34.00
conv,76,1.432483,34.00
3,76,1.071981,34.00
proposed,77,1.325494,34.00
conv,77,1.468450,34.00
3,77,1.080048,34.00
proposed,78,1.243231,34.00
conv,78,1.298896,34.00
3,78,1.083154,34.00
proposed,79,1.362614,34.00
conv,79,1.596611,34.00
3,79,1.095291,34.00
proposed,80,1.197040,34.00
conv,80,1.229670,34.00
3,80,1.056610,34.00
proposed,81,1.251776,34.00
conv,81,1.126171,34.00
3,81,1.050420,34.00
proposed,82,1.423603,34.00
conv,82,1.336322,34.00
3,82,1.062510,34.00
proposed,83,1.245487,34.00
conv,83,1.212660,34.00
3,83,1.046144,34.00
proposed,84,1.257567,34.00
conv,84,1.133038,34.00
3,84,1.040127,34.00
proposed,85,1.298793,34.00
conv,85,1.356623,34.00
3,85,1.054078,34.00
proposed,86,1.337614,34.00
conv,86,1.251386,34.00
3,86,1.046463,34.00
proposed,87,1.192165,34.00
conv,87,1.149533,34.00
3,87,1.039321,34.00
proposed,88,1.131468,34.00
conv,88,1.110081,34.00
3,88,1.031458,34.00
proposed,89,1.138546,34.00
conv,89,1.083460,34.00
3,89,1.031897,34.00
proposed,90,1.191193,34.00
conv,90,1.113069,34.00
3,90,1.041501,34.00
proposed,91,1.361241,34.00
conv,91,1.385202,34.00
3,91,1.065980,34.00
proposed,92,1.369088,34.00
conv,92,1.380259,34.00
3,92,1.075950,34.00
proposed,93,1.445838,34.00
conv,93,1.352255,34.00
3,93,1.071971,34.00
proposed,94,1.306048,34.00
conv,94,1.329692,34.00
3,94,1.075107,34.00
proposed,95,1.365829,34.00
conv,95,1.172559,34.00
3,95,1.058858,34.00
proposed,96,1.429691,34.00
conv,96,1.125575,34.00
3,96,1.045408,34.00
proposed,97,1.269118,34.00
conv,97,1.140569,34.00
3,97,1.046313,34.00
proposed,98,1.313846,34.00
conv,98,1.125652,34.00
3,98,1.041143,34.00
proposed,99,1.179951,34.00
conv,99,1.058619,34.00
3,99,1.033882,34.00
proposed,0,2.049152,38.00
conv,0,2.054742,38.00
3,0,2.298478,38.00
proposed,1,2.307440,38.00
conv,1,2.267599,38.00
3,1,2.609299,38.00
proposed,2,2.294568,38.00
conv,2,2.293447,38.00
3,2,2.629500,38.00
proposed,3,2.143104,38.00
conv,3,2.145375,38.00
3,3,2.451898,38.00
proposed,4,2.085524,38.00
conv,4,1.981615,38.00
3,4,2.465908,38.00
proposed,5,2.316781,38.00
conv,5,2.279682,38.00
3,5,2.607573,38.00
proposed,6,2.168474,38.00
conv,6,2.155953,38.00
3,6,2.494531,38.00
proposed,7,2.343128,38.00
conv,7,2.341839,38.00
3,7,2.561522,38.00
proposed,8,2.339293,38.00
conv,8,2.346053,38.00
3,8,2.647747,38.00
proposed,9,2.068612,38.00
conv,9,2.102330,38.00
3,9,2.444558,38.00
proposed,10,2.210449,38.00
conv,10,2.190236,38.00
3,10,2.385140,38.00
proposed,11,2.261407,38.00
conv,11,2.235410,38.00
3,11,2.581919,38.00
proposed,12,2.155224,38.00
conv,12,2.175018,38.00
3,12,2.524857,38.00
proposed,13,2.111654,38.00
conv,13,2.050131,38.00
3,13,2.461345,38.00
proposed,14,2.114206,38.00
conv,14,2.096818,38.00
3,14,2.421993,38.00
proposed,15,2.255228,38.00
conv,15,2.240644,38.00
3,15,2.474925,38.00
proposed,16,2.267404,38.00
conv,16,2.246101,38.00
3,16,2.628092,38.00
proposed,17,2.064632,38.00
conv,17,2.004853,38.00
3,17,2.410847,38.00
proposed,18,2.075543,38.00
conv,18,2.047677,38.00
3,18,2.459876,38.00
proposed,19,2.210144,38.00
conv,19,2.174908,38.00
3,19,2.595124,38.00
proposed,20,2.055191,38.00
conv,20,2.043340,38.00
3,20,2.378240,38.00
proposed,21,2.099262,38.00
conv,21,2.080345,38.00
3,21,2.432029,38.00
proposed,22,2.145912,38.00
conv,22,2.128022,38.00
3,22,2.502616,38.00
proposed,23,2.159488,38.00
conv,23,2.086248,38.00
3,23,2.528150,38.00
proposed,24,2.103298,38.00
conv,24,2.102676,38.00
3,24,2.503339,38.00
proposed,25,2.060727,38.00
conv,25,2.035988,38.00
3,25,2.340910,38.00
proposed,26,2.065242,38.00
conv,26,2.005245,38.00
3,26,2.332577,38.00
proposed,27,2.244677,38.00
conv,27,2.216553,38.00
3,27,2.473583,38.00
proposed,28,2.113115,38.00
conv,28,2.090345,38.00
3,28,2.557468,38.00
proposed,29,2.042008,38.00
conv,29,2.042910,38.00
3,29,2.384251,38.00
proposed,30,2.342951,38.00
conv,30,2.342436,38.00
3,30,2.685130,38.00
proposed,31,2.148275,38.00
conv,31,2.093322,38.00
3,31,2.500837,38.00
proposed,32,2.148078,38.00
conv,32,2.156265,38.00
3,32,2.520333,38.00
proposed,33,2.134855,38.00
conv,33,2.138097,38.00
3,33,2.537973,38.00
proposed,34,2.261877,38.00
conv,34,2.263689,38.00
3,34,2.600724,38.00
proposed,35,2.223146,38.00
conv,35,2.190204,38.00
3,35,2.523008,38.00
proposed,36,2.234599,38.00
conv,36,2.218799,38.00
3,36,2.572701,38.00
proposed,37,2.097653,38.00
conv,37,2.036028,38.00
3,37,2.412321,38.00
proposed,38,2.206305,38.00
conv,38,2.169341,38.00
3,38,2.509709,38.00
proposed,39,2.161731,38.00
conv,39,2.206656,38.00
3,39,2.501864,38.00
proposed,40,2.119477,38.00
conv,40,2.120911,38.00
3,40,2.422023,38.00
proposed,41,2.243235,38.00
conv,41,2.246188,38.00
3,41,2.592065,38.00
proposed,42,2.251972,38.00
conv,42,2.242934,38.00
3,42,2.568012,38.00
proposed,43,2.028071,38.00
conv,43,2.041375,38.00
3,43,2.383734,38.00
proposed,44,2.024938,38.00
conv,44,2.026305,38.00
3,44,2.387595,38.00
proposed,45,2.105024,38.00
conv,45,2.115186,38.00
3,45,2.380723,38.00
proposed,46,2.122755,38.00
conv,46,2.125792,38.00
3,46,2.502866,38.00
proposed,47,2.126349,38.00
conv,47,1.992994,38.00
3,47,2.457823,38.00
proposed,48,1.995826,38.00
conv,48,2.040313,38.00
3,48,2.224182,38.00
proposed,49,1.978709,38.00
conv,49,1.981660,38.00
3,49,2.195498,38.00
proposed,50,1.972358,38.00
conv,50,1.971109,38.00
3,50,2.230352,38.00
proposed,51,1.961874,38.00
conv,51,1.942760,38.00
3,51,2.321570,38.00
proposed,52,2.064547,38.00
conv,52,2.036777,38.00
3,52,2.354359,38.00
proposed,53,1.924297,38.00
conv,53,1.910591,38.00
3,53,2.162028,38.00
proposed,54,2.069109,38.00
conv,54,2.044444,38.00
3,54,2.335764,38.00
proposed,55,2.001253,38.00
conv,55,2.001379,38.00
3,55,2.303782,38.00
proposed,56,2.129768,38.00
conv,56,2.127442,38.00
3,56,2.392631,38.00
proposed,57,1.959988,38.00
conv,57,1.954369,38.00
3,57,2.128529,38.00
proposed,58,2.177291,38.00
conv,58,2.186437,38.00
3,58,2.483711,38.00
proposed,59,2.081279,38.00
conv,59,2.079251,38.00
3,59,2.384302,38.00
proposed,60,2.098458,38.00
conv,60,2.086824,38.00
3,60,2.369000,38.00
proposed,61,2.082249,38.00
conv,61,2.063876,38.00
3,61,2.361973,38.00
proposed,62,2.172775,38.00
conv,62,2.166866,38.00
3,62,2.495649,38.00
proposed,63,1.986637,38.00
conv,63,1.981242,38.00
3,63,2.341659,38.00
proposed,64,2.067039,38.00
conv,64,2.064611,38.00
3,64,2.286460,38.00
proposed,65,1.376044,38.00
conv,65,1.332784,38.00
3,65,1.497818,38.00
proposed,66,1.517545,38.00
conv,66,1.510425,38.00
3,66,1.665913,38.00
proposed,67,1.667740,38.00
conv,67,1.609698,38.00
3,67,1.975510,38.00
proposed,68,1.488113,38.00
conv,68,1.485140,38.00
3,68,1.705337,38.00
proposed,69,1.482141,38.00
conv,69,1.495098,38.00
3,69,1.622076,38.00
proposed,70,1.480992,38.00
conv,70,1.472971,38.00
3,70,1.684142,38.00
proposed,71,1.576594,38.00
conv,71,1.537993,38.00
3,71,1.694502,38.00
proposed,72,1.509848,38.00
conv,72,1.434382,38.00
3,72,1.758281,38.00
proposed,73,1.363510,38.00
conv,73,1.359340,38.00
3,73,1.517725,38.00
proposed,74,1.420129,38.00
conv,74,1.358947,38.00
3,74,1.596830,38.00
proposed,75,1.479437,38.00
conv,75,1.436106,38.00
3,75,1.613863,38.00
proposed,76,1.419664,38.00
conv,76,1.410785,38.00
3,76,1.728839,38.00
proposed,77,1.560295,38.00
conv,77,1.551584,38.00
3,77,1.814966,38.00
proposed,78,1.473652,38.00
conv,78,1.465443,38.00
3,78,1.749063,38.00
proposed,79,1.587883,38.00
conv,79,1.600005,38.00
3,79,1.772076,38.00
proposed,80,1.430987,38.00
conv,80,1.439366,38.00
3,80,1.736189,38.00
proposed,81,1.747324,38.00
conv,81,1.756953,38.00
3,81,1.995858,38.00
proposed,82,1.927198,38.00
conv,82,1.915866,38.00
3,82,2.162766,38.00
proposed,83,1.729148,38.00
conv,83,1.707762,38.00
3,83,1.984283,38.00
proposed,84,1.828773,38.00
conv,84,1.826818,38.00
3,84,2.093157,38.00
proposed,85,1.793169,38.00
conv,85,1.736820,38.00
3,85,1.942219,38.00
proposed,86,1.728788,38.00
conv,86,1.720032,38.00
3,86,1.921382,38.00
proposed,87,1.786345,38.00
conv,87,1.779115,38.00
3,87,2.158241,38.00
proposed,88,1.615643,38.00
conv,88,1.615978,38.00
3,88,1.846601,38.00
proposed,89,1.636168,38.00
conv,89,1.623364,38.00
3,89,1.857867,38.00
proposed,90,1.495615,38.00
conv,90,1.512064,38.00
3,90,1.648745,38.00
proposed,91,2.042845,38.00
conv,91,2.038973,38.00
3,91,2.281767,38.00
proposed,92,2.019786,38.00
conv,92,2.005492,38.00
3,92,2.257271,38.00
proposed,93,2.156461,38.00
conv,93,2.154954,38.00
3,93,2.467039,38.00
proposed,94,1.888286,38.00
conv,94,1.835101,38.00
3,94,2.134180,38.00
proposed,95,1.888591,38.00
conv,95,1.868874,38.00
3,95,2.025994,38.00
proposed,96,2.011730,38.00
conv,96,2.011582,38.00
3,96,2.247933,38.00
proposed,97,1.912894,38.00
conv,97,1.967667,38.00
3,97,2.173986,38.00
proposed,98,2.038843,38.00
conv,98,2.054938,38.00
3,98,2.398481,38.00
proposed,99,1.777855,38.00
conv,99,1.802100,38.00
3,99,1.980273,38.00
proposed,0,2.052282,36.00
conv,0,2.044097,36.00
3,0,2.283347,36.00
proposed,1,2.307346,36.00
conv,1,2.291215,36.00
3,1,2.585391,36.00
proposed,2,2.298022,36.00
conv,2,2.278567,36.00
3,2,2.619328,36.00
proposed,3,2.123758,36.00
conv,3,2.144032,36.00
3,3,2.450397,36.00
proposed,4,2.086219,36.00
conv,4,2.065996,36.00
3,4,2.448624,36.00
proposed,5,2.311413,36.00
conv,5,2.297827,36.00
3,5,2.604690,36.00
proposed,6,2.167814,36.00
conv,6,2.141793,36.00
3,6,2.489147,36.00
proposed,7,2.343205,36.00
conv,7,2.269123,36.00
3,7,2.534823,36.00
proposed,8,2.348040,36.00
conv,8,2.306209,36.00
3,8,2.648284,36.00
proposed,9,2.103989,36.00
conv,9,2.101624,36.00
3,9,2.453203,36.00
proposed,10,2.151820,36.00
conv,10,2.207539,36.00
3,10,2.530290,36.00
proposed,11,2.260213,36.00
conv,11,2.241259,36.00
3,11,2.574149,36.00
proposed,12,2.153691,36.00
conv,12,2.158973,36.00
3,12,2.524572,36.00
proposed,13,2.112033,36.00
conv,13,2.093018,36.00
3,13,2.473660,36.00
proposed,14,2.113680,36.00
conv,14,2.120703,36.00
3,14,2.425535,36.00
proposed,15,2.254835,36.00
conv,15,2.254413,36.00
3,15,2.474378,36.00
proposed,16,2.248641,36.00
conv,16,2.266747,36.00
3,16,2.618268,36.00
proposed,17,2.067657,36.00
conv,17,1.992833,36.00
3,17,2.424093,36.00
proposed,18,2.059548,36.00
conv,18,2.108046,36.00
3,18,2.253013,36.00
proposed,19,2.205308,36.00
conv,19,2.207256,36.00
3,19,2.543447,36.00
proposed,20,2.060136,36.00
conv,20,2.045005,36.00
3,20,2.358146,36.00
proposed,21,2.102533,36.00
conv,21,2.091649,36.00
3,21,2.445746,36.00
proposed,22,2.146018,36.00
conv,22,2.132115,36.00
3,22,2.503285,36.00
proposed,23,2.159926,36.00
conv,23,2.077692,36.00
3,23,2.526300,36.00
proposed,24,2.111682,36.00
conv,24,2.097836,36.00
3,24,2.503654,36.00
proposed,25,2.071411,36.00
conv,25,2.060517,36.00
3,25,2.332584,36.00
proposed,26,2.063407,36.00
conv,26,2.061909,36.00
3,26,2.334913,36.00
proposed,27,2.245331,36.00
conv,27,2.150796,36.00
3,27,2.489947,36.00
proposed,28,2.113989,36.00
conv,28,2.102137,36.00
3,28,2.563810,36.00
proposed,29,2.038880,36.00
conv,29,2.003550,36.00
3,29,2.365380,36.00
proposed,30,2.331762,36.00
conv,30,2.339011,36.00
3,30,2.669487,36.00
proposed,31,2.146606,36.00
conv,31,2.084835,36.00
3,31,2.471715,36.00
proposed,32,2.141808,36.00
conv,32,2.153610,36.00
3,32,2.533585,36.00
proposed,33,2.137686,36.00
conv,33,2.128971,36.00
3,33,2.540276,36.00
proposed,34,2.252603,36.00
conv,34,2.256813,36.00
3,34,2.610592,36.00
proposed,35,2.213735,36.00
conv,35,2.209980,36.00
3,35,2.558305,36.00
proposed,36,2.232456,36.00
conv,36,2.227826,36.00
3,36,2.560317,36.00
proposed,37,2.098821,36.00
conv,37,2.094227,36.00
3,37,2.413548,36.00
proposed,38,2.228470,36.00
conv,38,2.172889,36.00
3,38,2.503721,36.00
proposed,39,2.201776,36.00
conv,39,2.203683,36.00
3,39,2.484169,36.00
proposed,40,2.118964,36.00
conv,40,2.110314,36.00
3,40,2.398194,36.00
proposed,41,2.244643,36.00
conv,41,2.148134,36.00
3,41,2.584223,36.00
proposed,42,2.253254,36.00
conv,42,2.249672,36.00
3,42,2.571825,36.00
proposed,43,2.037070,36.00
conv,43,2.035229,36.00
3,43,2.380722,36.00
proposed,44,2.040493,36.00
conv,44,1.965625,36.00
3,44,2.385331,36.00
proposed,45,2.112982,36.00
conv,45,2.113166,36.00
3,45,2.368831,36.00
proposed,46,2.136649,36.00
conv,46,2.119098,36.00
3,46,2.510909,36.00
proposed,47,2.114085,36.00
conv,47,2.130641,36.00
3,47,2.448295,36.00
proposed,48,2.026820,36.00
conv,48,2.040497,36.00
3,48,2.134597,36.00
proposed,49,1.966772,36.00
conv,49,1.972498,36.00
3,49,2.288962,36.00
proposed,50,1.967784,36.00
conv,50,1.899994,36.00
3,50,2.228868,36.00
proposed,51,1.982898,36.00
conv,51,1.941108,36.00
3,51,2.330685,36.00
proposed,52,2.063596,36.00
conv,52,2.001822,36.00
3,52,2.353460,36.00
proposed,53,1.926149,36.00
conv,53,1.908286,36.00
3,53,2.179142,36.00
proposed,54,2.062217,36.00
conv,54,2.025763,36.00
3,54,2.339298,36.00
proposed,55,1.998046,36.00
conv,55,2.001346,36.00
3,55,2.304293,36.00
proposed,56,2.126856,36.00
conv,56,2.076387,36.00
3,56,2.332907,36.00
proposed,57,1.947991,36.00
conv,57,1.949498,36.00
3,57,2.202879,36.00
proposed,58,2.200587,36.00
conv,58,2.187776,36.00
3,58,2.453857,36.00
proposed,59,2.076870,36.00
conv,59,2.076827,36.00
3,59,2.384915,36.00
proposed,60,2.071580,36.00
conv,60,2.050903,36.00
3,60,2.384615,36.00
proposed,61,2.081586,36.00
conv,61,2.078247,36.00
3,61,2.344454,36.00
proposed,62,2.164072,36.00
conv,62,2.172090,36.00
3,62,2.462935,36.00
proposed,63,1.987703,36.00
conv,63,1.962152,36.00
3,63,2.336549,36.00
proposed,64,2.069372,36.00
conv,64,2.044057,36.00
3,64,2.271979,36.00
proposed,65,1.344404,36.00
conv,65,1.327713,36.00
3,65,1.502346,36.00
proposed,66,1.520457,36.00
conv,66,1.518260,36.00
3,66,1.654174,36.00
proposed,67,1.665642,36.00
conv,67,1.629512,36.00
3,67,1.975873,36.00
proposed,68,1.433535,36.00
conv,68,1.486288,36.00
3,68,1.699722,36.00
proposed,69,1.489900,36.00
conv,69,1.493213,36.00
3,69,1.621825,36.00
proposed,70,1.473088,36.00
conv,70,1.448614,36.00
3,70,1.689164,36.00
proposed,71,1.575340,36.00
conv,71,1.584593,36.00
3,71,1.695402,36.00
proposed,72,1.477906,36.00
conv,72,1.510736,36.00
3,72,1.755805,36.00
proposed,73,1.363093,36.00
conv,73,1.363457,36.00
3,73,1.522537,36.00
proposed,74,1.355759,36.00
conv,74,1.409234,36.00
3,74,1.588091,36.00
proposed,75,1.478440,36.00
conv,75,1.474080,36.00
3,75,1.620543,36.00
proposed,76,1.404924,36.00
conv,76,1.401575,36.00
3,76,1.705394,36.00
proposed,77,1.539544,36.00
conv,77,1.559267,36.00
3,77,1.722258,36.00
proposed,78,1.459491,36.00
conv,78,1.440986,36.00
3,78,1.739374,36.00
proposed,79,1.522378,36.00
conv,79,1.573978,36.00
3,79,1.829289,36.00
proposed,80,1.426273,36.00
conv,80,1.438610,36.00
3,80,1.746360,36.00
proposed,81,1.755264,36.00
conv,81,1.757228,36.00
3,81,1.996960,36.00
proposed,82,1.927545,36.00
conv,82,1.897886,36.00
3,82,2.035938,36.00
proposed,83,1.728120,36.00
conv,83,1.717286,36.00
3,83,2.024257,36.00
proposed,84,1.829061,36.00
conv,84,1.815572,36.00
3,84,2.122958,36.00
proposed,85,1.737756,36.00
conv,85,1.789816,36.00
3,85,1.924356,36.00
proposed,86,1.726456,36.00
conv,86,1.720578,36.00
3,86,1.920740,36.00
proposed,87,1.786936,36.00
conv,87,1.778807,36.00
3,87,2.150880,36.00
proposed,88,1.615088,36.00
conv,88,1.624093,36.00
3,88,1.846268,36.00
proposed,89,1.613789,36.00
conv,89,1.638448,36.00
3,89,1.851766,36.00
proposed,90,1.503511,36.00
conv,90,1.509778,36.00
3,90,1.642774,36.00
proposed,91,2.042865,36.00
conv,91,2.040421,36.00
3,91,2.298296,36.00
proposed,92,2.016168,36.00
conv,92,2.007023,36.00
3,92,2.215764,36.00
proposed,93,2.123289,36.00
conv,93,2.168659,36.00
3,93,2.464480,36.00
proposed,94,1.866404,36.00
conv,94,1.862896,36.00
3,94,2.134275,36.00
proposed,95,1.880844,36.00
conv,95,1.830158,36.00
3,95,2.050094,36.00
proposed,96,2.008554,36.00
conv,96,2.014455,36.00
3,96,2.233383,36.00
proposed,97,1.906581,36.00
conv,97,1.965053,36.00
3,97,2.243098,36.00
proposed,98,2.021364,36.00
conv,98,2.042050,36.00
3,98,2.333215,36.00
proposed,99,1.796605,36.00
conv,99,1.794880,36.00
3,99,1.970545,36.00
